"","MEdarkmagenta","MEplum1","MEpurple","MEturquoise","MEdarkgreen","MEdarkturquoise","MEsienna3","MEgreen","MEgreenyellow","MElightyellow","MEblack","MElightgreen","MEmagenta","MEpink","MEroyalblue","MEcyan","MEdarkorange","MEdarkolivegreen","MEmidnightblue","MEdarkgrey","MEdarkred","MEskyblue3","MEwhite","MEbrown","MEsteelblue","MEskyblue","MEyellowgreen","MEsaddlebrown","MEred","MEyellow","MEviolet","MEsalmon","MEgrey60","MEpaleturquoise","MEblue","MElightcyan","MEorange","MEtan"
"22",-0.0116929341225319,0.0131354025018995,-0.0618129346534817,-0.0959498054415662,0.0482229228254529,-0.0545307866941854,-0.0392774121763848,-0.0350379442262796,0.0736132791651823,0.00117547482315975,-0.132995240162947,-0.0522966250016471,-0.0618593348300697,-0.11204805713765,-0.134478978028816,0.139754976591874,0.0592044516807141,-0.0353588269643219,0.0888094464623052,0.0645774771235706,0.0575653582293172,-0.0842773878643401,-0.00715913430936799,-0.0126912674436836,0.0024192307060813,0.0704983524607982,-0.0170692050873192,0.138264204881888,0.0730684030771151,0.103928592251369,0.02410738515114,0.277849519470563,0.028728671526148,0.0786460599737355,0.14561639957282,0.128862751546835,0.0359781846152984,0.0710453065013215
"29",-0.096783550439928,0.0692758109589546,-0.149187983572093,-0.172709697945521,-0.116965042001523,-0.190594408213706,-0.0867568092990071,0.0500853833397553,0.115305893901297,5.99616067013947e-05,-0.0994388248723832,-0.0508477264047491,0.138078504355669,-0.0723180484996302,0.0402218748635804,-0.0507881662198556,-0.04101252779401,-0.109645699560318,-0.081635372004642,-0.0239602430818989,0.00575740534398694,-0.117094601328543,-0.0408671517127932,0.0316093378281855,0.00611898566482805,-0.116587177610393,0.0345931585553809,0.140474913053596,0.0210112127066568,0.216715146064091,0.909931638753914,0.421305688583382,0.314434336672971,0.376131611165647,-0.00276386270386231,0.181463704612887,0.0788988448899127,0.0965123740506909
"15",-0.157931260698675,-0.0825901556918887,-0.197318122284101,-0.256333856837132,-0.0565561926975834,-0.0446743727562482,-0.0879289799290665,-0.0155418238114168,-0.115188307461769,0.00767185573169371,-0.155562752096615,-0.15226413945016,-0.0811782559874703,-0.223524048937751,-0.162636962675326,0.0537602386075302,0.0466927350057259,-0.0869976271888006,0.00462169076572437,0.0112438595557602,-0.0155248764343774,-0.18292024611188,-0.108714316549978,0.0189200559235105,-0.00910287997220048,0.333453568953973,-0.0347125546516754,-0.0387368179247594,-0.0658329669810216,0.02632734480095,-0.0094129745325852,0.0411878901882148,0.147574348891381,0.212193016972306,0.200499646834935,0.162903396425604,0.187069509696504,0.172046996671629
"24",-0.118391466782966,-0.0555212139619694,-0.173586942336658,-0.247181402675538,-0.11321587963038,-0.110748480350808,-0.154863837333728,-0.0306417522628885,0.00213132686379611,-0.0144975077306198,-0.163390784093056,-0.128056589926095,-0.0466074672693421,-0.187041022644109,-0.137329136584775,-0.0733851702093857,0.00751474415271286,-0.127496069235618,-0.0629984750062464,-0.0466844083828965,-0.0243957932420115,-0.187889299834124,-0.119298455356204,0.0971705703360554,-0.0197337161700587,0.161714353444452,0.0244369374918269,0.0153357554729001,0.0805448899189127,0.167388408389364,0.0830080114741362,0.128475855392923,0.305406121250551,0.378748172139522,0.138688535692189,0.185703427269479,0.345129913818271,0.210310463882465
"36",0.179168826516778,-0.0396855469409098,0.0186097292854687,-0.00475116138001401,-0.0549452953005749,-0.0983298489168146,-0.0533356804316215,-0.0548079627586899,-0.125880288950104,-0.143712495516416,-0.0648042790029969,-0.102633109831817,-0.0556724826839989,-0.0237668452866376,-0.0852611866759801,0.0533494916476513,0.122363983568986,0.050971314356875,0.0246513898884221,-0.0693284190723479,-0.0824469775189103,0.00458160160237442,-0.0690442539774054,-0.003782265829002,-0.0369226154078263,-0.0445608946284729,0.00329289652953557,0.0570797618089271,0.0336555180456092,0.0340989544622911,-0.0186882897201702,0.0506733048102005,-0.000357921548364238,-0.0259848679853446,0.0185741211847189,0.0261730822832438,-0.0775285981074977,-0.0777518629229627
"5",-0.00797137369000536,0.168761271555616,0.0769082136785155,0.0444460243361331,-0.0854265944194135,-0.0191336651385946,-0.0739466017446572,-0.0400947473931119,-0.018223067330885,-0.00423109015875853,-0.00907706033885333,0.0101676036769447,-0.0470689271076755,0.0358326131390772,-0.0242173019886592,-0.0333855812963662,0.00737424280897265,0.0100056754473539,0.013454859633423,-0.0283508466280848,0.0362214229703036,0.0366425241116303,0.0685343667614234,0.0144458456242332,-0.0372583985327487,0.0670602069075922,-0.0123056334216214,-0.0250902293606787,-0.0190922750189889,2.89258797623121e-05,-0.000585958342557524,-0.00972979614468654,0.0278784136796373,0.0196414111301332,0.00360934206385479,-0.00143532231424236,-0.00502710784394794,0.0144070646366874
"20",-0.0640681383228875,-0.0557661650205643,0.016944071153434,0.00428142285446583,0.081557917268308,0.027918877057515,0.0598862401532412,0.00829028581646441,0.0813972494703688,-0.0241115169383234,-0.0235883210133106,0.0457631460612236,-0.0519081660450116,-0.0268510098036565,-0.0699482593720134,0.132675978610678,0.0652755350931225,0.0523420338021012,0.0561341815139461,0.052953825235968,-0.0155165976018944,0.0204445876237369,-0.0399093281138668,-0.0568556490795813,-0.0488085966038355,0.0657321374148878,0.0148293961894033,0.0290746871540563,0.0248046742728717,0.0364022852426988,-0.0279355683519945,0.0260519710011021,-0.00918934567018243,-0.026609008652278,0.0699069120357231,0.0322626909969029,-0.0498471194380201,-0.0257860130873629
"25",-0.10166505769512,0.046616143715796,-0.122925878987788,-0.12527809544048,-0.222884201752163,-0.188975347081292,-0.134767601703682,-0.0131007489350582,0.0838379398386945,-0.154825888166943,-0.0940616557235599,-0.0858598344623022,0.0603082462735305,-0.0989250975103033,-0.0216047286236241,-0.126363035493438,-0.0593462203526253,-0.19321084529717,-0.176764363020418,-0.185681996607249,-0.1818936143324,-0.205340489355846,-0.18947482642949,0.136813739616258,0.0103343720066086,-0.00161261671230233,0.0617128010285923,0.0686575267102378,0.171365186060701,0.133074839952211,0.0515347784366034,-0.0124746451212635,0.118312461301494,0.0785624223695097,0.0118833779876392,0.0260657124257225,0.0175164134978955,0.0366313928114965
"3",-0.0932767007601085,-0.218369469617344,-0.128214266276495,-0.0641927636650851,-0.168547354266005,-0.0791028491069342,-0.0484200570755456,-0.160615860328229,-0.300000169130024,-0.183432409959965,-0.095463384078018,-0.274730859183068,0.117247717207448,-0.0453617934796808,0.0542808401414635,-0.0774903179258458,-0.105860106566076,-0.132166023915416,-0.181982200733147,-0.246998397573292,-0.237766221082288,-0.13103500207698,-0.216132374753515,0.556706814866778,0.930397292019675,0.0890216014667572,0.002235312275194,-0.042252020072696,-0.0763625606908188,-0.101059301082785,0.0486080916696029,-0.0683542094896064,-0.000215481659004913,0.00466835398454803,0.00873877456252356,-0.0546646223036671,0.110423023242974,0.0263801133418275
"31",-0.0583965315758269,0.0611243625177175,-0.0875423791873277,0.0243430995254591,-0.0184037123687082,0.0324001717992829,0.0658400751769729,0.149120411204893,0.143682168774006,0.218540537831928,0.155502094956922,0.117468148084424,0.144422351391803,0.00834602594572063,0.138935500175879,-0.151832356921462,-0.183770223132124,-0.127446006812113,-0.142044024765222,0.0458293773128873,0.0547429736245389,0.00253061010301256,0.0772479671752667,-0.105451870199944,-0.00894356640898067,0.177487131357847,-0.0439545662301889,-0.0888375140077181,-0.0900595974678557,-0.0798799019533074,-0.0209907089468314,0.00117273530891551,-0.0274977157819405,0.0620183502894669,-0.0240607968507045,-0.0425062823917233,0.327080980568554,0.193918029362336
