"module","modSize","bkgrModSize","rank","enrichmentP","BonferoniP","nModGenesInTerm","fracOfBkgrModSize","fracOfBkgrTermSize","bkgrTermSize","termID","termOntology","termName","termDefinition"
"GO:0005743","M19",304,300,1,1.65330633336544e-64,2.92122696042339e-60,91,0.303333333333333,0.189189189189189,481,"GO:0005743","CC","mitochondrial inner membrane","The inner, i.e. lumen-facing, lipid bilayer of the mitochondrial envelope. It is highly folded to form cristae."
"GO:0005740","M19",304,300,2,8.1977043331457e-62,1.44845237862351e-57,103,0.343333333333333,0.145275035260931,709,"GO:0005740","CC","mitochondrial envelope","The double lipid bilayer enclosing the mitochondrion and separating its contents from the cell cytoplasm; includes the intermembrane space."
"GO:0019866","M19",304,300,3,2.31240294120953e-60,4.08578475682312e-56,91,0.303333333333333,0.170731707317073,533,"GO:0019866","CC","organelle inner membrane","The inner, i.e. lumen-facing, lipid bilayer of an organelle envelope; usually highly selective to most ions and metabolites."
"GO:0031966","M19",304,300,4,1.12979269758926e-57,1.99623071737047e-53,97,0.323333333333333,0.144560357675112,671,"GO:0031966","CC","mitochondrial membrane","Either of the lipid bilayers that surround the mitochondrion and form the mitochondrial envelope."
"GO:0005739","M19",304,300,5,3.04594804803232e-51,5.38188560606831e-47,133,0.443333333333333,0.0820481184454041,1621,"GO:0005739","CC","mitochondrion","A semiautonomous, self replicating organelle that occurs in varying numbers, shapes, and sizes in the cytoplasm of virtually all eukaryotic cells. It is notably the site of tissue respiration."
"GO:0006119","M19",304,300,6,1.63102416885237e-47,2.88185660394526e-43,47,0.156666666666667,0.3671875,128,"GO:0006119","BP","oxidative phosphorylation","The phosphorylation of ADP to ATP that accompanies the oxidation of a metabolite through the operation of the respiratory chain. Oxidation of compounds establishes a proton gradient across the membrane, providing the energy for ATP synthesis."
"GO:0070469","M19",304,300,7,1.5151254148029e-41,2.67707509541524e-37,39,0.13,0.40625,96,"GO:0070469","CC","respiratory chain","The protein complexes that form the electron transport system (the respiratory chain), associated with a cell membrane, usually the plasma membrane (in prokaryotes) or the inner mitochondrial membrane (on eukaryotes). The respiratory chain complexes transfer electrons from an electron donor to an electron acceptor and are associated with a proton pump to create a transmembrane electrochemical gradient."
"GO:0042775","M19",304,300,8,1.30525459309098e-40,2.30625434053246e-36,38,0.126666666666667,0.408602150537634,93,"GO:0042775","BP","mitochondrial ATP synthesis coupled electron transport","The transfer of electrons through a series of electron donors and acceptors, generating energy that is ultimately used for synthesis of ATP, as it occurs in the mitochondrial inner membrane or chloroplast thylakoid membrane."
"GO:0042773","M19",304,300,9,2.15372773967511e-40,3.80542154323195e-36,38,0.126666666666667,0.404255319148936,94,"GO:0042773","BP","ATP synthesis coupled electron transport","The transfer of electrons through a series of electron donors and acceptors, generating energy that is ultimately used for synthesis of ATP."
"GO:0005746","M19",304,300,10,6.70108569623283e-40,1.18401483166738e-35,37,0.123333333333333,0.415730337078652,89,"GO:0005746","CC","mitochondrial respiratory chain","The protein complexes that form the mitochondrial electron transport system (the respiratory chain), associated with the inner mitochondrial membrane. The respiratory chain complexes transfer electrons from an electron donor to an electron acceptor and are associated with a proton pump to create a transmembrane electrochemical gradient."
"GO:0046649","M6",827,813,1,1.15017624558062e-77,2.03224640831639e-73,164,0.201722017220172,0.290780141843972,564,"GO:0046649","BP","lymphocyte activation","A change in morphology and behavior of a lymphocyte resulting from exposure to a specific antigen, mitogen, cytokine, chemokine, cellular ligand, or soluble factor."
"GO:0002376","M6",827,813,2,2.18203256072512e-76,3.85543333154521e-72,349,0.429274292742927,0.140953150242326,2476,"GO:0002376","BP","immune system process","Any process involved in the development or functioning of the immune system, an organismal system for calibrated responses to potential internal or invasive threats."
"GO:0006955","M6",827,813,3,1.42234419620587e-73,2.51313996027616e-69,281,0.345633456334563,0.164135514018692,1712,"GO:0006955","BP","immune response","Any immune system process that functions in the calibrated response of an organism to a potential internal or invasive threat."
"GO:0045321","M6",827,813,4,2.77603964586382e-63,4.90498445027678e-59,204,0.250922509225092,0.192999053926206,1057,"GO:0045321","BP","leukocyte activation","A change in morphology and behavior of a leukocyte resulting from exposure to a specific antigen, mitogen, cytokine, cellular ligand, or soluble factor."
"GO:0001775","M6",827,813,5,4.37744799613915e-61,7.73451286437826e-57,212,0.260762607626076,0.181506849315068,1168,"GO:0001775","BP","cell activation","A change in the morphology or behavior of a cell resulting from exposure to an activating factor such as a cellular or soluble ligand."
"GO:0042110","M6",827,813,6,4.59376463970446e-61,8.11672274189381e-57,124,0.152521525215252,0.306930693069307,404,"GO:0042110","BP","T cell activation","The change in morphology and behavior of a mature or immature T cell resulting from exposure to a mitogen, cytokine, chemokine, cellular ligand, or an antigen for which it is specific."
"GO:0002682","M6",827,813,7,1.21198779852847e-60,2.14146124121996e-56,223,0.274292742927429,0.17300232738557,1289,"GO:0002682","BP","regulation of immune system process","Any process that modulates the frequency, rate, or extent of an immune system process."
"GO:0002250","M6",827,813,8,4.53076401616274e-53,8.00540694015794e-49,103,0.126691266912669,0.323899371069182,318,"GO:0002250","BP","adaptive immune response","An immune response mediated by cells expressing specific receptors for antigen produced through a somatic diversification process, and allowing for an enhanced secondary response to subsequent exposures to the same antigen (immunological memory)."
"GO:0002684","M6",827,813,9,1.35580078553628e-50,2.39556440796406e-46,169,0.207872078720787,0.189887640449438,890,"GO:0002684","BP","positive regulation of immune system process","Any process that activates or increases the frequency, rate, or extent of an immune system process."
"GO:0050776","M6",827,813,10,9.339645329804e-50,1.65022193332307e-45,162,0.199261992619926,0.194244604316547,834,"GO:0050776","BP","regulation of immune response","Any process that modulates the frequency, rate or extent of the immune response, the immunological reaction of an organism to an immunogenic stimulus."
"GO:0050911","M14",153,137,1,1.96620594753558e-20,3.47408928870061e-16,18,0.131386861313869,0.219512195121951,82,"GO:0050911","BP","detection of chemical stimulus involved in sensory perception of smell","The series of events involved in the perception of smell in which an olfactory chemical stimulus is received and converted into a molecular signal."
"GO:0004984","M14",153,137,2,1.96620594753558e-20,3.47408928870061e-16,18,0.131386861313869,0.219512195121951,82,"GO:0004984","MF","olfactory receptor activity","Combining with an odorant and transmitting the signal from one side of the membrane to the other to initiate a change in cell activity in response to detection of smell."
"GO:0050907","M14",153,137,3,4.1365203610352e-19,7.30881782591309e-15,18,0.131386861313869,0.1875,96,"GO:0050907","BP","detection of chemical stimulus involved in sensory perception","The series of events in which a chemical stimulus is received and converted into a molecular signal as part of sensory perception."
"GO:0007608","M14",153,137,4,6.12884835955247e-19,1.08290621664933e-14,18,0.131386861313869,0.183673469387755,98,"GO:0007608","BP","sensory perception of smell","The series of events required for an organism to receive an olfactory stimulus, convert it to a molecular signal, and recognize and characterize the signal. Olfaction involves the detection of chemical composition of an organism's ambient medium by chemoreceptors. This is a neurological process."
"GO:0050906","M14",153,137,5,7.58695834333292e-18,1.34053966968349e-13,19,0.138686131386861,0.143939393939394,132,"GO:0050906","BP","detection of stimulus involved in sensory perception","The series of events involved in sensory perception in which a sensory stimulus is received and converted into a molecular signal."
"GO:0009593","M14",153,137,6,5.82823875198411e-17,1.02979150508807e-12,18,0.131386861313869,0.144,125,"GO:0009593","BP","detection of chemical stimulus","The series of events in which a chemical stimulus is received by a cell and converted into a molecular signal."
"GO:0007606","M14",153,137,7,1.58352070306853e-16,2.79792273025179e-12,18,0.131386861313869,0.136363636363636,132,"GO:0007606","BP","sensory perception of chemical stimulus","The series of events required for an organism to receive a sensory chemical stimulus, convert it to a molecular signal, and recognize and characterize the signal. This is a neurological process."
"GO:0004930","M14",153,137,8,1.1359862248238e-14,2.00717406064118e-10,24,0.175182481751825,0.0677966101694915,354,"GO:0004930","MF","G-protein coupled receptor activity","Combining with an extracellular signal and transmitting the signal across the membrane by activating an associated G-protein; promotes the exchange of GDP for GTP on the alpha subunit of a heterotrimeric G-protein complex."
"GO:0051606","M14",153,137,9,1.55335717641893e-14,2.7446267950146e-10,21,0.153284671532847,0.0817120622568093,257,"GO:0051606","BP","detection of stimulus","The series of events in which a stimulus is received by a cell or organism and converted into a molecular signal."
"GO:0007600","M14",153,137,10,2.96938422441896e-10,5.24660498612586e-06,21,0.153284671532847,0.0488372093023256,430,"GO:0007600","BP","sensory perception","The series of events required for an organism to receive a sensory stimulus, convert it to a molecular signal, and recognize and characterize the signal. This is a neurological process."
"GO:0006397","M37",78,78,1,6.67932198055988e-18,1.18016940074513e-13,24,0.307692307692308,0.0509554140127389,471,"GO:0006397","BP","mRNA processing","Any process involved in the conversion of a primary mRNA transcript into one or more mature mRNA(s) prior to translation into polypeptide."
"GO:0008380","M37",78,78,2,8.57946957934137e-17,1.51590647997383e-12,22,0.282051282051282,0.0531400966183575,414,"GO:0008380","BP","RNA splicing","The process of removing sections of the primary RNA transcript to remove sequences not present in the mature form of the RNA and joining the remaining sections to form the mature form of the RNA."
"GO:0000398","M37",78,78,3,8.8249935435026e-17,1.55928810920147e-12,20,0.256410256410256,0.0634920634920635,315,"GO:0000398","BP","mRNA splicing, via spliceosome","The joining together of exons from one or more primary transcripts of messenger RNA (mRNA) and the excision of intron sequences, via a spliceosomal mechanism, so that mRNA consisting only of the joined exons is produced."
"GO:0000375","M37",78,78,4,1.06112083195768e-16,1.87489439798603e-12,20,0.256410256410256,0.0628930817610063,318,"GO:0000375","BP","RNA splicing, via transesterification reactions","Splicing of RNA via a series of two transesterification reactions."
