	22	29	15	24	36	5	20	25	3	31	38	52	10	4	43	46	28	23	32	37	48	12	14	35	50	6	21	30	42	75	26	55	57	58	60	64	65	66	71	72	73	78	81	85	86	90	92	96	11	13	56	59	61	67	68	69	74	76	77	80	82	83	84	87	89	91	93	94	95	47	16	19	45	8	1	34	9	18	2	40	33	17
aDC	0	0	0	0.0775	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0058	0	0	0	0	0	0	0	0.0039	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0169	0	0	0	0	0	0	0	0	0	0.0221	0	0	0	0	0	0	0	0	0
Adipocytes	0.0341	0	0	0.002	0	0	0	0.009	0.011	0.0071	0.0091	0.0033	0	0	0	0	0	6e-04	0.0045	0.0026	0	0	0	0	0	0	0.0167	0	0	0	0	0	0	0	0.0132	0	0	0.0054	0	0	0	0	0.0015	0	0	0	0	0	0	0	0	0	0	0.0016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0363	0	0.0025	1e-04	0	0.0304	8e-04	0	0	0.0119	0	0.017
Astrocytes	0.0231	0.1546	0.0615	0.1542	0	0.0431	0.03	0.0456	0.0014	0.0453	0.0359	0.0744	0.1091	0	0.0536	0.0559	0.0608	0.0057	0.004	0.0269	0.0489	0.0123	0.0277	0.0043	0.0501	0.0329	0.1535	0.0202	0.0614	0.0354	0.0111	0.0226	0.0159	0.0302	0.0985	0.0375	0.0111	0.0528	0.0129	0.0399	0.0178	0.0318	0.0411	0.0417	0.0198	0.0313	0.0142	0.0523	0.0444	0.0329	0.036	0.0485	0.0215	0.0231	0	0.0166	0.0257	0	0.0136	0.0241	0.0325	0	0.0276	0.0293	0.0297	0.0056	0.0129	0.0091	0.0323	0.0305	0.0715	0.0289	0.0225	0.0569	0.0474	0.0482	0.0577	0.0245	0.1355	0.0747	0.0263	0.0146
Basophils	0.2368	0.3978	0.2035	0.2355	0	0.0494	0	0	0.2448	0.2012	0.159	0.0922	0.1157	0.1183	0.1326	0.0094	0.1025	0.1262	0.0549	0.0936	0.2	0.0762	0.1219	0	0.0704	0.1275	0.0593	0.0365	0.071	0.0095	0.0444	0.0823	0.0107	0.0026	0.0039	0.0632	0.0986	0	0.058	0.0606	0.0046	0.0352	0.0353	0.0872	0.0625	0	0.0377	0.0436	0.059	0.139	0.054	0.0142	0.0956	0.0196	0.0368	0.0466	0.0214	0.0268	0	0.0951	0.0407	0.017	0.1343	0.0459	0	0.0078	0.086	0.0398	0.1203	0.1493	0.1087	0.1709	0.2331	0.1246	0.0734	0.2326	0	0.1134	0.1667	0.0812	0.0316	0
B-cells	0.34	0.0091	0.5409	0.3335	0.1922	0.1176	0.3379	0.115	0.1738	0.0629	0.4228	0.08	0.0582	0	0.2423	0.7202	0.1263	0.2279	0.1749	0.2384	0.183	0.0347	0.0594	0.2095	0.3615	0.0929	0	0.3256	0.5786	0.2853	0.0394	0.0642	0.0679	0.0819	0	0.059	0	0	0.0434	0.0441	0.0192	0.0385	0.1005	0.0481	0.0232	0.301	0	0.1972	0.5514	0.109	0.0564	0.0162	0.0727	9e-04	0.0466	0.0026	0.0533	0.0458	0	0.1784	0.0238	0.0341	0.0188	0.1254	0.0485	0.0257	0.0114	0.1021	0.1555	0.8084	0	0.0576	0.5624	0.666	0.7275	0.2128	0.5974	0.2298	0.1579	0.0959	0.0424	0
CD4+ memory T-cells	0	0	0.0167	0	0	0.0025	0.0101	0	0	0	0	0	0	0	0	0.005	0	0	0	0	0	0	0	0	0.004	0	0	0	0.0028	0.0047	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0043	0.0128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0155	0	0.0014	0	0.0111	0.0209	0	0.0096	0	0	0	1e-04	0
CD4+ naive T-cells	0.0501	0	0.1047	0.0833	0.0344	0.0263	0.036	0.0201	0.0216	0	0.0346	0.0339	0.0339	0	0.0435	0.1524	0.0116	0.0086	0	0	0.0357	0	0	0.0435	0.0578	0.0331	0.0116	0.0337	0.1288	0.0238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0319	0.1202	0	0	0	0	0	0	0	0	0	0	0.0059	0	0.0091	0	0	0	0	0	0	0	0.0501	0	0	0.0777	0.0796	0.1138	0.0268	0.0821	0.0206	0.014	0	0	0
CD4+ T-cells	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD4+ Tcm	0.0441	0	0	0.0393	0.0258	0.0024	0.0346	0	0	0	0.0035	0	0	0	0	0	0	0.0049	0.0173	0.0229	0	0	2e-04	0.0374	0	0	0.0099	0.0076	0	0.0095	0	0.0028	0	0	0.0062	4e-04	0	0	7e-04	1e-04	0	0	0.0044	5e-04	0	0.0055	0	0.001	0	0.0129	0	0.0175	0	0.0088	0.013	0	0.0027	0	0	0	0	0.0032	0.0047	0	0	0	0	0	0	0	0	0	0	0.0132	0	0	0	0.0049	0.0209	0	0	0
