geneid,geneName,moduleColor
ENSG00000088727,KIF9,M19
ENSG00000147684,NDUFB9,M19
ENSG00000250479,CHCHD10,M19
ENSG00000014641,MDH1,M19
ENSG00000170004,CHD3,M19
ENSG00000135940,COX5B,M19
ENSG00000169021,UQCRFS1,M19
ENSG00000136261,BZW2,M19
ENSG00000164919,COX6C,M19
ENSG00000178741,COX5A,M19
ENSG00000127838,PNKD,M19
ENSG00000099624,ATP5F1D,M19
ENSG00000107262,BAG1,M19
ENSG00000159199,ATP5MC1,M19
ENSG00000241837,ATP5PO,M19
ENSG00000170425,ADORA2B,M19
ENSG00000118473,SGIP1,M19
ENSG00000090266,NDUFB2,M19
ENSG00000137547,MRPL15,M19
ENSG00000146066,HIGD2A,M19
ENSG00000169020,ATP5ME,M19
ENSG00000233836,AC139769.1,M19
ENSG00000178982,EIF3K,M19
ENSG00000123472,ATPAF1,M19
ENSG00000140990,NDUFB10,M19
ENSG00000127184,COX7C,M19
ENSG00000090263,MRPS33,M19
ENSG00000197747,S100A10,M19
ENSG00000109270,LAMTOR3,M19
ENSG00000125968,ID1,M19
ENSG00000235957,COX7CP1,M19
ENSG00000111775,COX6A1,M19
ENSG00000169855,ROBO1,M19
ENSG00000123179,EBPL,M19
ENSG00000152601,MBNL1,M19
ENSG00000165637,VDAC2,M19
ENSG00000182512,GLRX5,M19
ENSG00000119421,NDUFA8,M19
ENSG00000137038,DMAC1,M19
ENSG00000154723,ATP5PF,M19
ENSG00000162300,ZFPL1,M19
ENSG00000173467,AGR3,M19
ENSG00000123104,ITPR2,M19
ENSG00000143158,MPC2,M19
ENSG00000159214,CCDC24,M19
ENSG00000114554,PLXNA1,M19
ENSG00000166128,RAB8B,M19
ENSG00000176340,COX8A,M19
ENSG00000178996,SNX18,M19
ENSG00000135617,PRADC1,M19
ENSG00000168273,SMIM4,M19
ENSG00000277972,CISD3,M19
ENSG00000257084,MIR200CHG,M19
ENSG00000164687,FABP5,M19
ENSG00000112357,PEX7,M19
ENSG00000134291,TMEM106C,M19
ENSG00000183978,COA3,M19
ENSG00000033867,SLC4A7,M19
ENSG00000130779,CLIP1,M19
ENSG00000125458,NT5C,M19
ENSG00000115286,NDUFS7,M19
ENSG00000118508,RAB32,M19
ENSG00000130560,UBAC1,M19
ENSG00000184076,UQCR10,M19
ENSG00000112312,GMNN,M19
ENSG00000099795,NDUFB7,M19
ENSG00000189227,C15orf61,M19
ENSG00000168653,NDUFS5,M19
ENSG00000131174,COX7B,M19
ENSG00000169689,CENPX,M19
ENSG00000103018,CYB5B,M19
ENSG00000128923,MINDY2,M19
ENSG00000172366,MCRIP2,M19
ENSG00000171735,CAMTA1,M19
ENSG00000130520,LSM4,M19
ENSG00000173915,ATP5MD,M19
ENSG00000125652,ALKBH7,M19
ENSG00000160446,ZDHHC12,M19
ENSG00000184752,NDUFA12,M19
ENSG00000126267,COX6B1,M19
ENSG00000163444,TMEM183A,M19
ENSG00000160124,CCDC58,M19
ENSG00000004779,NDUFAB1,M19
ENSG00000241370,RPP21,M19
ENSG00000164258,NDUFS4,M19
ENSG00000165283,STOML2,M19
ENSG00000196553,CCDC196,M19
ENSG00000182154,MRPL41,M19
ENSG00000180992,MRPL14,M19
ENSG00000173660,UQCRH,M19
ENSG00000241127,YAE1D1,M19
ENSG00000165389,SPTSSA,M19
ENSG00000262814,MRPL12,M19
ENSG00000224961,LINC01752,M19
ENSG00000108840,HDAC5,M19
ENSG00000107020,PLGRKT,M19
ENSG00000239789,MRPS17,M19
ENSG00000257303,AC073896.2,M19
ENSG00000054267,ARID4B,M19
ENSG00000183648,NDUFB1,M19
ENSG00000165233,CARD19,M19
ENSG00000119705,SLIRP,M19
ENSG00000130159,ECSIT,M19
ENSG00000112304,ACOT13,M19
ENSG00000160213,CSTB,M19
ENSG00000175581,MRPL48,M19
ENSG00000100300,TSPO,M19
ENSG00000131475,VPS25,M19
ENSG00000130720,FIBCD1,M19
ENSG00000148187,MRRF,M19
ENSG00000151665,PIGF,M19
ENSG00000178175,ZNF366,M19
ENSG00000104886,PLEKHJ1,M19
ENSG00000166136,NDUFB8,M19
ENSG00000111412,C12orf49,M19
ENSG00000126653,NSRP1,M19
ENSG00000099800,TIMM13,M19
ENSG00000130770,ATP5IF1,M19
ENSG00000198399,ITSN2,M19
ENSG00000175416,CLTB,M19
ENSG00000169291,SHE,M19
ENSG00000169567,HINT1,M19
ENSG00000176871,WSB2,M19
ENSG00000088986,DYNLL1,M19
ENSG00000178821,TMEM52,M19
ENSG00000236540,AC006547.1,M19
ENSG00000112695,COX7A2,M19
ENSG00000123545,NDUFAF4,M19
ENSG00000051620,HEBP2,M19
ENSG00000214046,SMIM7,M19
ENSG00000183172,SMDT1,M19
ENSG00000186010,NDUFA13,M19
ENSG00000158552,ZFAND2B,M19
ENSG00000236935,AP003774.4,M19
ENSG00000188186,LAMTOR4,M19
ENSG00000110717,NDUFS8,M19
ENSG00000171443,ZNF524,M19
ENSG00000118680,MYL12B,M19
ENSG00000141741,MIEN1,M19
ENSG00000115128,SF3B6,M19
ENSG00000241685,ARPC1A,M19
ENSG00000181924,COA4,M19
ENSG00000164405,UQCRQ,M19
ENSG00000002330,BAD,M19
ENSG00000203724,C1orf53,M19
ENSG00000111269,CREBL2,M19
ENSG00000137714,FDX1,M19
ENSG00000148334,PTGES2,M19
ENSG00000174917,C19orf70,M19
ENSG00000175756,AURKAIP1,M19
ENSG00000132423,COQ3,M19
ENSG00000182180,MRPS16,M19
ENSG00000005238,FAM214B,M19
ENSG00000118939,UCHL3,M19
ENSG00000228223,HCG11,M19
ENSG00000250017,AC117529.1,M19
ENSG00000164897,TMUB1,M19
ENSG00000013306,SLC25A39,M19
ENSG00000179933,C14orf119,M19
ENSG00000146247,PHIP,M19
ENSG00000285508,AL034430.1,M19
ENSG00000204922,UQCC3,M19
ENSG00000174021,GNG5,M19
ENSG00000188643,S100A16,M19
ENSG00000186174,BCL9L,M19
ENSG00000143771,CNIH4,M19
ENSG00000099977,DDT,M19
ENSG00000100348,TXN2,M19
ENSG00000171135,JAGN1,M19
ENSG00000182165,TP53TG1,M19
ENSG00000004455,AK2,M19
ENSG00000179284,DAND5,M19
ENSG00000174547,MRPL11,M19
ENSG00000184983,NDUFA6,M19
ENSG00000197070,ARRDC1,M19
ENSG00000261740,BOLA2-SMG1P6,M19
ENSG00000062582,MRPS24,M19
ENSG00000178449,COX14,M19
ENSG00000139428,MMAB,M19
ENSG00000110200,ANAPC15,M19
ENSG00000135441,BLOC1S1,M19
ENSG00000241468,ATP5MF,M19
ENSG00000077684,JADE1,M19
ENSG00000109084,TMEM97,M19
ENSG00000165501,LRR1,M19
ENSG00000151366,NDUFC2,M19
ENSG00000103363,ELOB,M19
ENSG00000173120,KDM2A,M19
ENSG00000145494,NDUFS6,M19
ENSG00000149212,SESN3,M19
ENSG00000128626,MRPS12,M19
ENSG00000155368,DBI,M19
ENSG00000169288,MRPL1,M19
ENSG00000169718,DUS1L,M19
ENSG00000067900,ROCK1,M19
ENSG00000167862,MRPL58,M19
ENSG00000272523,LINC01023,M19
ENSG00000275966,AC110285.6,M19
ENSG00000106100,NOD1,M19
ENSG00000127540,UQCR11,M19
ENSG00000169738,DCXR,M19
ENSG00000284797,AC008397.1,M19
ENSG00000180628,PCGF5,M19
ENSG00000256043,CTSO,M19
ENSG00000080503,SMARCA2,M19
ENSG00000112406,HECA,M19
ENSG00000172586,CHCHD1,M19
ENSG00000267520,AC010733.2,M19
ENSG00000197956,S100A6,M19
ENSG00000147123,NDUFB11,M19
ENSG00000074071,MRPS34,M19
ENSG00000183527,PSMG1,M19
ENSG00000160194,NDUFV3,M19
ENSG00000163319,MRPS18C,M19
ENSG00000187840,EIF4EBP1,M19
ENSG00000070540,WIPI1,M19
ENSG00000103249,CLCN7,M19
ENSG00000169230,PRELID1,M19
ENSG00000241990,PRR34-AS1,M19
ENSG00000185043,CIB1,M19
ENSG00000012822,CALCOCO1,M19
ENSG00000122545,Sep-07,M19
ENSG00000060237,WNK1,M19
ENSG00000167283,ATP5MG,M19
ENSG00000054148,PHPT1,M19
ENSG00000267855,NDUFA7,M19
ENSG00000173085,COQ2,M19
ENSG00000131051,RBM39,M19
ENSG00000132507,EIF5A,M19
ENSG00000235016,SEMA3F-AS1,M19
ENSG00000159210,SNF8,M19
ENSG00000155329,ZCCHC10,M19
ENSG00000129235,TXNDC17,M19
ENSG00000173457,PPP1R14B,M19
ENSG00000108528,SLC25A11,M19
ENSG00000070423,RNF126,M19
ENSG00000055950,MRPL43,M19
ENSG00000246705,H2AFJ,M19
ENSG00000181649,PHLDA2,M19
ENSG00000146386,ABRACL,M19
ENSG00000277053,GTF2IP1,M19
ENSG00000167799,NUDT8,M19
ENSG00000170906,NDUFA3,M19
ENSG00000121274,PAPD5,M19
