"Gene","Module","p","p.adj","coef","AUC"
"CXCL6","M5",7.19379198055295e-05,0.0242636556779335,-1.64202076157765,0.922077922077922
"IGFBP5","M10",9.05402638242224e-05,0.0242636556779335,-5.51224631310932,0.917748917748918
"PAPPA","unassigned",0.000315281458604476,0.0242636556779335,-11.1656206486872,0.912337662337662
"HGF","unassigned",0.000498871799350045,0.0253332209661755,-7.29627163352451,0.909090909090909
"F5","unassigned",8.52127585130629e-05,0.0242636556779335,-7.426892796571,0.906926406926407
"TMTC1","M10",4.75703040468295e-05,0.0242636556779335,-6.71344482424234,0.897186147186147
"LDLRAD3","M20",0.000262003685195459,0.0242636556779335,-3.91552900425864,0.895021645021645
"THBD","M1",0.000185317501906345,0.0242636556779335,-3.98213861700827,0.888528138528139
"NRP1","unassigned",0.000328887458352796,0.0242636556779335,-9.58049019543519,0.886363636363636
"CFH","M10",0.000112364210625203,0.0242636556779335,-3.33268015206372,0.886363636363636
"RGS18","M5",0.000176411425844125,0.0242636556779335,-2.86731748707586,0.885281385281385
"ADGRE2","unassigned",5.16463914652868e-05,0.0242636556779335,-3.56218989260698,0.884199134199134
"ANGPT2","M20",0.000210691669999094,0.0242636556779335,-7.73784016994726,0.883116883116883
"IL11","M4",8.4188860235028e-05,0.0242636556779335,-1.96728264153914,0.883116883116883
"LILRB2","M5",7.80422945061791e-05,0.0242636556779335,-2.02775459411527,0.882034632034632
"CAV2","M9",0.000193646246289356,0.0242636556779335,-3.96229072015058,0.87987012987013
"CXCR2","M5",0.000235349183365317,0.0242636556779335,-1.10644372641459,0.87987012987013
"PRICKLE2","unassigned",0.000128310919149266,0.0242636556779335,-5.33931811806007,0.87987012987013
"TLR1","unassigned",9.23016244149369e-05,0.0242636556779335,-2.18779951732656,0.878787878787879
"ANGPTL2","M10",9.03059303982165e-05,0.0242636556779335,-3.35307893595902,0.878787878787879
"S100A9","M5",4.83408828621531e-05,0.0242636556779335,-1.37606299728676,0.878246753246753
"PRNP","M10",0.000115179163046828,0.0242636556779335,-3.62124594653987,0.877705627705628
"PXDN","M2",9.86073657507021e-05,0.0242636556779335,-2.55809406656731,0.877705627705628
"FJX1","M4",0.000185593252397441,0.0242636556779335,-4.43221771035348,0.877705627705628
"DKK3","M10",0.000258457599488239,0.0242636556779335,-5.59799020749221,0.876623376623377
"RBMS1","M3",0.00015594933264747,0.0242636556779335,-2.76747087801274,0.876623376623377
"SMARCA1","M10",9.56202480142463e-05,0.0242636556779335,-6.63738436493001,0.876623376623377
"ENTPD1","M20",0.000159872738144035,0.0242636556779335,-2.89597303971461,0.876623376623377
"ITGA5","M1",0.000224891867158558,0.0242636556779335,-3.24564074486861,0.875541125541126
"WWTR1","M10",0.00010855933865275,0.0242636556779335,-5.10095284046046,0.874458874458874
"VCAN","M2",9.84940432828698e-05,0.0242636556779335,-1.97402313137961,0.873376623376623
"CAVIN3","M10",0.000118739009710291,0.0242636556779335,-2.45150512700945,0.872294372294372
"FPR1","M5",0.000396043363156629,0.0243014715877238,-2.23901949575804,0.871212121212121
"CMTM2","M5",0.000225759171900455,0.0242636556779335,-2.49421059502347,0.871212121212121
"S100A8","M5",4.2290178302132e-05,0.0242636556779335,-1.17518112558328,0.87012987012987
"FAM129A","unassigned",0.000144700101832465,0.0242636556779335,-1.83007717409954,0.87012987012987
"JCAD","M10",0.000246440655996931,0.0242636556779335,-9.59219196174122,0.87012987012987
"TSHZ3","M2",0.000204677314525718,0.0242636556779335,-5.40829782933343,0.869047619047619
"AAED1","M20",0.000122350293533667,0.0242636556779335,-4.09442567917179,0.869047619047619
"MCTP1","M20",0.000165269970510489,0.0242636556779335,-3.29286770509163,0.866883116883117
"PDLIM4","M10",0.000126119519553683,0.0242636556779335,-6.13474632803852,0.866883116883117
"COL8A1","M2",0.000594471334308344,0.0266817239025353,-5.35081454727427,0.865800865800866
"ANXA5","unassigned",9.35835730624852e-05,0.0242636556779335,-3.53190592032667,0.864718614718615
"TNC","M20",0.000124677303956404,0.0242636556779335,-2.41455882747185,0.864718614718615
"CAV1","M10",0.000143405737091083,0.0242636556779335,-2.03093100411688,0.864718614718615
"FAM49A","M20",0.000175011726048748,0.0242636556779335,-3.2290044363101,0.864718614718615
"PRR16","unassigned",0.000318898318848644,0.0242636556779335,-3.55757157871969,0.863636363636364
"SLC2A3","M1",0.000132142955569916,0.0242636556779335,-1.9344599097373,0.863636363636364
"COL4A1","M2",0.000112053115369497,0.0242636556779335,-1.91050400543346,0.862554112554113
"SAMSN1","M20",0.000188851890286434,0.0242636556779335,-2.06678124792792,0.862554112554113
"PDPN","M5",0.000106509579502661,0.0242636556779335,-4.21776094667345,0.862554112554113
"INHBA","M4",5.88381266554252e-05,0.0242636556779335,-1.48217073686236,0.862554112554113
"PIP4P2","unassigned",0.000517164007324693,0.0257420021240826,-4.83519538843145,0.862012987012987
"SERPINE1","M1",0.000322125721094902,0.0242636556779335,-2.50913658836532,0.861471861471861
"MMP3","M5",5.8273917846499e-05,0.0242636556779335,-1.05328598031979,0.861471861471861
"LILRA2","M5",0.000230370079066025,0.0242636556779335,-5.84636000852029,0.861471861471861
"TREM1","M5",0.000189876990703261,0.0242636556779335,-1.2857769884805,0.861471861471861
"EML1","M20",0.000201804967204287,0.0242636556779335,-3.5825791011453,0.86038961038961
"ITPRIP","M1",0.000537887232391246,0.025757390860271,-6.77331133992437,0.86038961038961
"CLMP","M20",0.000122876734891339,0.0242636556779335,-2.41975369174261,0.86038961038961
"RGS5","M10",9.7871328497867e-05,0.0242636556779335,-3.14257468318281,0.859307359307359
"AXL","M10",0.000145454588348944,0.0242636556779335,-4.59672956358487,0.859307359307359
"S100A4","M20",0.000148587165884048,0.0242636556779335,-2.15021641909472,0.859307359307359
"CSF3","M1",0.000281112756667647,0.0242636556779335,-3.18775634512678,0.859307359307359
"SRGN","M20",0.000127570582124789,0.0242636556779335,-2.25542053448799,0.858225108225108
"DBN1","M10",0.000560081866468596,0.0260794938210914,-5.3151652930836,0.858225108225108
"MNDA","M5",0.000118103674808916,0.0242636556779335,-1.06680895261544,0.858225108225108
"KLHL5","M20",0.000142014510999492,0.0242636556779335,-3.66509678364736,0.858225108225108
"MRGPRF","M10",0.000311054050797841,0.0242636556779335,-2.37646937501492,0.858225108225108
"LAMC1","M10",0.000170477051575285,0.0242636556779335,-3.3961328341088,0.857142857142857
"S100A12","M5",0.000190828695475051,0.0242636556779335,-1.04787366499297,0.857142857142857
"VNN2","M6",0.000279345115775226,0.0242636556779335,-1.87608271846244,0.857142857142857
"ZNF281","M20",0.000199601992176221,0.0242636556779335,-4.68318425620875,0.857142857142857
"DSE","unassigned",0.000153204418522594,0.0242636556779335,-5.45640119301936,0.856060606060606
"HS3ST3B1","M6",0.000122339140639021,0.0242636556779335,-4.60566250994327,0.856060606060606
"FCGR2A","M5",0.000104143889345727,0.0242636556779335,-3.11783986202197,0.856060606060606
"FLT1","M10",0.000149456645468102,0.0242636556779335,-6.17824649866148,0.856060606060606
"COL4A2","M2",0.000199587570302959,0.0242636556779335,-2.57494792625882,0.856060606060606
"SDC2","unassigned",0.000115725447273456,0.0242636556779335,-2.80169172568202,0.856060606060606
"TSPAN2","unassigned",0.000536340059661518,0.025757390860271,-8.08183791223992,0.856060606060606
"FRMD6","unassigned",0.000182215209265605,0.0242636556779335,-2.2492439885808,0.856060606060606
"COL12A1","M2",0.000182202693186767,0.0242636556779335,-2.40431526186752,0.856060606060606
"GPX8","M4",0.000609903444168528,0.0267451420310442,-3.49167780459933,0.856060606060606
"MSANTD3","unassigned",0.000106943925073785,0.0242636556779335,-4.33257250980447,0.854978354978355
"IFNAR2","M6",0.000200123766531881,0.0242636556779335,-5.98473875684314,0.854978354978355
"SNAPC1","unassigned",0.000207107152922566,0.0242636556779335,-4.57519114310397,0.854978354978355
"PI15","M20",0.000190199938426976,0.0242636556779335,-1.42416836473287,0.854978354978355
"ADGRL2","unassigned",0.000145703749702239,0.0242636556779335,-4.23022512897198,0.853896103896104
"FCGR3B","M5",0.000219711191462221,0.0242636556779335,-1.11391290438003,0.853896103896104
"TNFRSF11B","unassigned",0.000756061994222877,0.0283155961087777,-2.16315447756193,0.853896103896104
"TXNDC15","M20",0.00024258399713251,0.0242636556779335,-5.20259572024413,0.852813852813853
"ST8SIA4","M6",0.000292388694056399,0.0242636556779335,-2.99000949591606,0.851731601731602
"PDGFRA","unassigned",0.000199318283833123,0.0242636556779335,-7.00524423647297,0.851731601731602
"C5AR1","unassigned",0.000297164730011141,0.0242636556779335,-1.53787176786071,0.851731601731602
"TMEM71","M20",0.000366433216545343,0.0242636556779335,-2.27914753709885,0.851731601731602
