"","M1","M11","M12","M13","M14","M15","M16","M17","M18","M19","M2","M20","M21","M22","M23","M24","M26","M27","M3","M4","M5","M6","M7"
"GSM364633",-0.0441601653685384,-0.0575738407010487,-0.00126594968126368,-0.0863839494350371,-0.0710987506690768,-0.0489601665860471,0.0943670505275087,0.124214011817999,0.115392687962994,0.115333299925701,-0.0484127825022497,0.0632801469554647,0.102543540417116,0.0942901066813705,-0.0766989801262255,0.00069132157392035,0.111256621961915,-0.0500289434574229,-0.0618214936556003,-0.0334203362370211,-0.046373723280107,-0.0602171293439472,-0.0390237041050525
"GSM364634",0.0409089767627854,-0.0147549877291437,0.0831488516617895,0.00182286621385748,0.0469558757519186,0.0479379954770984,-0.00335815480102775,-0.0783166442294693,-0.0103673300780974,-0.0410697565363129,0.0665625207773618,-0.0191178198109731,0.00917033825320412,0.0747929219848045,0.0377102067403436,-0.00709537119132257,-0.0459586719866462,0.00627563690098706,0.0584926905349121,0.079461343787491,0.0863448588120453,0.0418092442805488,0.0911165889940933
"GSM364635",-0.00534556706830933,-0.0432256213063154,-0.0222998292882703,0.0167191082672934,0.0385418154305678,-0.00101020011957946,0.02928721221651,0.0321061574566746,0.0507408108463778,0.039694711296913,-0.0209807816803767,0.029879952547706,0.0242112560967695,0.0603758789852877,-0.0305288533547129,-0.0187860869822594,0.0364512479898434,-0.0756446274557857,-0.0459448910880421,-0.0246058541660842,-0.034544389008095,-0.0823850352815604,-0.0138363667447828
"GSM364636",-0.000401394520656786,-0.0201366598502401,0.0132023081824744,-0.00497808234672946,-0.00691412553141555,0.051777975410707,-0.00056104814960339,-0.0234622804199349,0.0109139828335787,0.0179601858213135,-0.0627180374244349,0.0327356485127216,-0.00989839340009785,0.0173350600219938,0.0728836418559736,-0.0180850907148591,0.000270639509827923,-0.058656468142116,-0.0596519074441627,-0.039540674961817,-0.000341676517167406,-0.0697852928020996,0.0234360842615988
"GSM364637",0.0366920027826576,-0.0377241230748919,0.0776672959080402,0.132866436630257,0.126718286623654,0.0101780238020007,0.00398180789488136,-0.0921321041542244,0.0419673782264668,-0.0791633759490175,-0.0253949951359658,-0.0202125755031088,-0.0823828317765956,-0.0427920137641118,-0.0227606892693018,-0.0321658059425298,-0.0447170187460495,-0.0617114641637145,0.0128123272320445,-0.0168375030052884,-0.000979606635079981,0.0020070823867915,0.011260701021526
"GSM364638",0.0322868737991561,-0.0456077072853019,0.053506787589714,-0.0184146162240439,-0.0598262562098654,-0.00441312795874742,0.0190201328722477,-0.00327921185894276,0.0313442798775244,0.00366243894554821,0.0436678114267656,-0.0168440276883863,-0.00760029553029212,0.0125152034410284,0.0112926264264095,-0.0354673431806781,0.029779942172101,-0.0643546331398892,0.031060774804579,0.0299763588340615,-0.0149064869072082,0.016478020593328,-0.0104556173186784
"GSM364639",-0.0321284093186602,-0.0493077123836505,0.0309901139115708,0.134458601045603,0.142473876953533,-0.00727313002865834,0.021750170403669,-0.059158988022896,0.0130455357600323,-0.0060836803388288,0.0271664002816285,-0.0157330671637953,-0.0155552966124438,-0.0319026006580178,-0.0396602430392844,-0.050949551220583,-0.0801835752988652,-0.0161941551013355,0.0585234738766264,0.0234419298950864,0.00807222857973568,0.0501994935243267,-0.0271590169748764
"GSM364640",0.0207389141555658,-0.0688832804855601,0.0170752350021721,0.00466768258015541,0.0192697489008265,-0.072941802081619,-0.00216148606529619,-0.105357358104655,0.0482241110954154,-0.100989016713912,0.001110895815375,-0.0649244233427359,-0.118325087772226,-0.0906908601809833,-0.0678611028437507,-0.0811134974567877,-0.112670106436501,-0.0564349013812893,0.0690989694042359,-0.0172855606239456,-0.0421667933600028,0.0996971435339624,-0.018479337354828
"GSM364641",0.133551990847643,-0.0295443707016655,0.165823959434724,-0.0392744624673783,-0.0132724895672277,0.0300378685125024,-0.0458623934709492,-0.0692694549480899,-0.0414299469751246,-0.0704156404932394,0.0417772640896463,-0.0815107195156072,-0.0724697228083725,-0.065734553024195,-0.108668080849902,-0.0762810039779964,-0.00642913797856619,-0.130243116461618,0.0707685832574523,0.0794612495079101,0.168615480408844,0.0654392969480429,0.131156654966701
"GSM364642",0.0142412691875481,-0.0637011444484861,0.00902653173475884,-0.0064861563387988,0.0441891365999875,-0.0430311701784848,-0.00564000556200612,-0.0836484158270737,0.0389698020509883,-0.0906049836247211,0.0389341800547145,-0.0609034551964091,-0.0829230606450322,-0.0527707986059132,-0.0498524695776523,-0.0779707746715204,-0.074596365366201,-0.0245187662949196,0.0637660131970542,0.0353076861411221,0.00301295627502597,0.0365765979335102,-0.019337580765916
"GSM364643",0.0927173294034794,-0.0584781765324732,0.161885673814916,-0.0848521462146752,-0.0561053679317421,-0.0121409374589189,-0.0532384197016758,-0.00237936826481411,0.0109404323551083,-0.00944752885584244,0.058560695419791,-0.117370824759791,-0.09624291270396,-0.0492915882910249,-0.19987808265866,-0.121770358999137,0.0621387262147044,-0.117106128478879,0.103794795275721,0.0676164691810448,0.0496606189701257,0.151632117590061,0.0568895835274937
"GSM364644",0.109516055896666,-0.0428478938352488,0.16658093485328,-0.112292932600246,-0.116544385463548,-0.0293884378290624,-0.0168402664423687,0.0550349670085796,0.0186186056916279,0.0934946020724118,0.0565808954023888,-0.0369514209686679,0.0196118081178898,0.0715851962987243,-0.0865716875941667,-0.0700695968492248,0.101030153804991,-0.0581897953054669,0.0619316682467478,0.055757833372294,0.0761441600988973,0.040336276905179,0.0912267993071338
"GSM364645",0.0690105881104389,-0.0135703601035748,0.0366253909871086,-0.0994181514876165,-0.0925332005357718,0.0881551091074102,-0.0310543858868597,0.0517732021836943,0.00409043749899264,0.0375892444441186,0.0228356547898779,-0.0257343073830512,0.00985756558764947,0.00942951807028765,-0.107901541017392,-0.0432458790765275,0.0869801996784711,-0.095106981319583,-0.0183696500634594,0.0407254443708289,0.0749086984598413,-0.0240886089575242,0.0808181863637862
"GSM364646",0.199561796939019,-0.0683536773654578,0.29855243262074,-0.0784537492235424,-0.060228467952422,-0.0749825671560949,-0.101535503466928,-0.0683699835103547,-0.0154779459809118,-0.0709244232609751,0.165964919711257,-0.223462780505473,-0.15657426277745,-0.0868924837996854,-0.170423522206041,-0.186821133807202,0.0238385376234957,-0.0791089728774571,0.212764523810288,0.163790773549353,0.0955912341689952,0.240940949511828,0.0603154034664648
"GSM364647",0.0677690914408635,-0.0601473952797739,0.0717069309636533,-0.0877110880170971,-0.0913847813559398,-0.0464258811487173,0.00281013677184175,0.0733010846609412,0.0878551396352007,0.0648445562952276,0.0115247128176348,-0.0441656218287317,-0.0588496443917447,-0.0394227789570617,-0.166801907661941,-0.0970430231065585,0.116071639167424,-0.138196153350658,-0.00788701801780212,0.00481141380558638,0.00388280294249509,-0.0335256155325062,-0.0256366189866182
"GSM364648",-0.0139374877802132,-0.0576460969127273,0.0119184731886819,-0.0148213738032644,0.00312072096443824,-0.0749837364127846,0.0543435944149286,0.058775669844488,0.0232609861597277,0.0665087360740269,-0.0298115401975235,0.030070915638906,0.0147799315316744,0.0834339332357806,-0.0281714995132046,-0.0296579669077757,0.0118449979213774,-0.00540925554348108,-0.00869378092070655,-0.0193668096903249,0.0156800086664502,-0.0344899493025901,0.0145473521695742
"GSM364649",0.190640502429265,-0.060715690173756,0.145538541511774,-0.0392776736516747,-0.0429769346320029,-0.0129015122769299,-0.0884056866804342,-0.108984579042674,-0.0212437250012158,-0.124810274220102,0.130033020514219,-0.203665577493465,-0.186365033222218,-0.116232891141085,-0.131823308192608,-0.163662851929072,0.00706592570840637,-0.0788924996897787,0.199479738778969,0.143060381065746,0.203136718372784,0.242356778624683,0.102669106917916
"GSM364650",0.132744126596678,-0.0384900421403492,0.114365255327798,0.0775019301989089,0.0548936058657192,0.0549601507431414,-0.0308619311587024,-0.0815537833199938,0.0126062707306499,-0.0672269841487026,0.0780388546211615,-0.0926010576230995,-0.101655464722816,-0.0630591964737971,-0.0373670882911762,-0.0930749655971547,-0.0557930459151061,-0.0584887311127821,0.106157647697106,0.110121789490862,0.137907665973074,0.0890285265171592,0.0213712130885875
"GSM364651",0.157154286924393,-0.0701739994228189,0.295770053756505,-0.0617082271957179,-0.0588590221428892,-0.0249354647421404,-0.119210734439821,-0.125775753817315,-0.0816689279428433,-0.172924147715532,0.293673550402283,-0.290601694191903,-0.21933139248739,-0.213051035774425,-0.200273906802134,-0.211874489957601,-0.00497469646235292,-0.0962361561102231,0.236243832135914,0.270896350081265,0.123524558840598,0.186554481362593,0.0931165046501278
