"","M1","M11","M12","M13","M14","M15","M16","M17","M18","M19","M2","M20","M21","M22","M23","M24","M26","M27","M3","M4","M5","M6","M7"
"GSM1900148",0.106699115433893,0.00487804212871652,0.193525411991346,0.0941042930211453,0.0318915757767084,0.0285327278432684,-0.104491176495016,-0.101393571524998,-0.11802197285457,-0.119309938529343,0.174434336568455,-0.131793471554365,-0.105979831922513,-0.082688480575856,0.112441305814899,-0.104685706458808,-0.0862837721624201,-0.0374578277497332,0.154819442928525,0.166080543144847,0.111030992706276,0.136042863391635,0.115182769090666
"GSM1900154",0.0981411357963453,-0.0561325562414784,0.0752500599646014,0.0221632162153356,0.0394114966925905,0.152519204139027,-0.0413649392667354,-0.0453433066181945,-0.05517900765288,-0.0264954240862714,0.00960886336750218,-0.014345974344669,-0.00152466664778125,0.0141712044837262,0.0131708233878398,0.00794815890254839,-0.0407427701970376,0.0423221189649229,0.039470882577816,0.0596142316909045,0.145987956461816,0.0514926865240393,0.140041199554614
"GSM1900155",0.0330090501925088,-0.0518206110360347,0.0122599965405805,-0.0631927133580897,-0.0678037289489879,-0.0392990145806915,-0.0221373991015918,-0.0298743656336948,-0.00609640415545494,-0.0331406292928666,-0.00574579620499575,-0.0144982546183277,-0.0174133245612397,0.000259263248609722,0.0624084437672519,0.00135126194866319,0.00553791031942599,0.0403706398739769,0.061338899187846,0.0327321011246047,0.0898235172222367,0.126206543320512,0.0856329684053515
"GSM1900158",-0.0231857962986897,-0.0995675683165992,-0.0283055693997587,-0.0664321457217913,-0.0520373519358939,0.0077449349441352,-0.00513941807953461,0.0658932241337085,-0.0192634765250504,0.0963276701910153,-0.0895354421452501,0.0693741271624116,0.05504647873583,0.062976646803656,0.00271215350022436,0.0517719658611276,0.0726165220599581,0.0748329377800339,-0.0772658552659589,-0.050478031971477,-0.00586187388239564,-0.072159515967594,0.0488054249510594
"GSM1900172",0.0229134059347289,-0.0967625434183279,0.0447462200385509,-0.135009473353106,-0.111865979130566,-0.061608974677112,-0.00733012991596316,0.0122659732800215,-0.049223168905681,0.0207497354448744,3.04120735273604e-05,0.0332635071445856,0.049347198450204,0.0521903809981243,0.0560303237635969,0.0577533194179584,0.0513729054576513,0.0967569559458884,0.0180631395145713,0.0334863376922353,0.0819340803610905,0.0337616980087556,0.124025442288908
"GSM1900175",0.0600445305034309,-0.106345444884045,0.0862467563560881,-0.106941938421602,-0.109859829690868,-0.0738569437107704,-0.0329710064853806,0.0642060817954919,-0.0357162675312174,0.0431350471060567,-0.0174995302082442,0.00973778234367585,0.00456725033856607,0.0380827268860561,0.0143012844888081,-0.0170939135941866,0.077170002705291,0.0591585822004152,-0.00853255994724627,-0.00672101342472164,0.0573422761145597,0.00656738330914805,0.0919923839460837
"GSM1900176",0.132348146684499,-0.0596667665345431,0.176768607589691,-0.0535193679616155,-0.0784337467398292,-0.10824426209732,-0.0989458731876201,-0.0478048159844408,-0.0763499868470772,-0.0744951917017514,0.060445952981002,-0.105157337466148,-0.0964682545659565,-0.0774012467207756,0.123494354245908,-0.114878214476453,-0.0128438298478955,-0.0463004155454875,0.105444443360728,0.0850130889686431,0.0766815814085528,0.151767593580412,0.0693835756244352
"GSM1900180",0.00458315008714613,-0.0597451026878261,0.0207945056702033,-0.0258667418146457,-0.0515797015453875,-0.0188902653504017,0.00896167619121619,0.021940847021614,0.014968327569705,0.0337942897493437,-0.00205850432519405,0.0233320501371951,0.0307692778045817,0.0350314162875757,0.0439415210850504,0.0273168775441175,0.031720789309348,0.0507232390793935,0.00674125044731787,-0.00306662344118928,-0.0112971811431661,0.0176398442207593,0.0147654573145466
"GSM1900181",-0.0104166392751201,-0.0512290459585523,0.00119786120305853,-0.105938930070529,-0.0773508028036067,-0.0663092006123678,0.0254088572805057,0.0493572992467025,0.0974507279228978,0.0408538693409671,-0.0594481407951949,0.0439221906684593,0.04474163426632,0.0554750410727657,0.0397875252865029,0.0251461798253578,0.0726942170254139,0.0680910201150112,-0.00869837137808113,-0.046193892929827,-0.0308317089654437,0.0255212813733531,0.0144636675237724
"GSM1900184",0.0456597766511016,-0.105600558322728,0.0539229118882115,-0.0767298638297931,-0.107487876580433,-0.126871679146468,-0.0186240817885613,0.0264695178683222,-0.00733625731119085,0.0166045837886366,-0.00583142152546137,0.00880597962857054,0.00787968329599206,0.0271074461354343,0.0728554400295591,0.0030553004360888,0.0671642006704667,0.0688667382757305,0.0250793991091123,0.0213281211614793,0.0467403634426386,0.0591514156171702,0.0339377655367732
"GSM1900185",0.0974184547568248,-0.103732819656215,0.0648632740906787,-0.0818456735222261,-0.0956905572575088,-0.0467301209862486,-0.0300640239434071,0.0164441757911458,-0.0233577994566404,0.0101443805281406,0.0133200643058427,-0.00390588251855747,0.0082272538633355,0.0273259838316521,0.0787909746693343,-0.0153706379726508,0.0434034067552341,0.0482340067861751,0.0429707975955504,0.0541571910372256,0.108141811989291,0.0615361230893676,0.0669883260614912
"GSM1900186",0.00852764130015892,-0.0951731567666215,0.0514247651601612,-0.118332691026744,-0.10414857272857,-0.117723083122653,0.0109219719496843,0.0492061200874244,0.0272097157754373,0.0499809394557888,-0.068928613823877,0.0488237544676925,0.0475394029748785,0.0553852778030122,0.0266729557880753,0.0515620796175398,0.0990395509004209,0.126663465699265,-0.0205294023480989,-0.0467968933740936,0.00840053038301233,0.00589337559968321,0.0588727374023819
"GSM1900192",-0.0330103401314878,0.00170341063516507,0.00282463664736297,0.0634393496405666,0.0449737907758781,0.0466157668994259,0.0268747858309258,0.0385835434360906,-0.025320397093018,0.0640007195197377,-0.00966333840538471,0.0279265213668559,0.0331682630493759,0.0336786038452912,-0.00257247086925899,0.0240942925752768,0.016789220210335,0.0452800505871021,0.00954873028235361,-0.000167020164182279,0.00612053519662544,0.0381772951923939,0.0158226273916505
"GSM1900195",0.136351937729717,-0.0990975398087156,0.0879106410028672,-0.122484575965404,-0.138455603834872,-0.135113303866833,-0.0804977983378167,-0.0218979361740221,-0.0548214092704892,-0.0480477800283293,0.0429874269898059,-0.0775212344929071,-0.0740106329090538,-0.0281408778026849,0.186711407373759,-0.0813387703319874,0.0433778433287865,0.00475242683110352,0.108460053904454,0.0706351651495726,0.159890395233825,0.164004259953871,0.127510521769783
"GSM1900202",0.0312962697153078,-0.0663361374366028,0.0356329305387506,-0.0639450396111395,-0.0491835974074402,-0.0680859406517928,0.0112076385789759,0.0832266687753297,0.085844690261447,0.0759243078650498,-0.0223038820270292,0.0376827210357292,0.0373945141293086,0.0607344480945246,0.0240884038831786,0.00411271047133137,0.0937424666678303,0.080036209021222,-0.0145667882125547,-0.0179909959234562,0.000319037758536574,-0.0321191990949227,0.015457252339114
"GSM1900204",-0.0344989808457058,-0.0661308127644244,-0.0508739405033912,-0.0467265064196838,-0.00936333198252932,0.00547613624193412,0.0315423116834073,0.0538269348107088,0.0303403864825871,0.0755195999027341,-0.0490066129527947,0.0735488333219364,0.0652645669030699,0.0809480633698634,-0.0546774734768038,0.0633259131436011,0.0612699496112751,0.0980235196884481,-0.0572522171217566,-0.0401515103601342,-0.0362645919467051,-0.0846516230415597,0.0184341455265405
"GSM1900206",0.0548788436462841,-0.0868610072027285,0.078073810540532,-0.0702036341487343,-0.0920892490209793,-0.0704154743151613,-0.0486677484051105,-0.010051752554153,-0.0290381681556347,-0.0148870195573856,0.00503954129348339,-0.0296773825783336,-0.0319474348636266,-0.0110338319263525,0.0949051279741888,-0.0374522793532445,0.0253152919009636,0.0324349723995203,0.0620333940654342,0.0233309420301672,0.0433105866596802,0.10309814006181,0.0692345349645833
"GSM1900208",0.0387767979983604,-0.107939451100608,0.00650667374069111,-0.115673094538311,-0.11075599738437,-0.034352003708844,-0.0271614396155003,0.0510118876400969,-0.0301917981714788,0.0570994141410597,-0.030493571607757,0.0401145962731838,0.0417061150623274,0.0691378129970558,0.0336400692682448,0.0424791597601736,0.0816913695851854,0.0694483119938764,-0.0358203685450351,-0.00231509333841735,0.0624216002630347,-0.0302888175751511,0.115798046869783
"GSM1900210",0.0647601229365814,-0.0356760567892209,-0.0197435475245812,0.0577716092678674,0.0698503276683061,0.103985423645448,-0.00694604663347071,-0.0434660104667203,-0.0476595156016127,0.0075303162007319,0.0286257624175322,0.0136425413235306,-0.00873016550285802,-0.00208774772751292,0.00238178566671249,0.0319146752309698,-0.0710680924048845,-0.00964892362893343,-0.00329259515761758,0.0606107170387201,0.0811902417949047,-0.007421824457343,0.0903405317419353
"GSM1900213",0.00268489139888951,-0.0234147066461927,-0.000180374610016831,0.0227846625695708,0.0173734762336847,0.0221146106748533,0.00228719404520769,-0.00349902850844202,0.0434971369625861,0.0139907712989796,-0.0325740254954639,0.0076727946472168,0.0126257573888534,0.0023332599496743,0.0749369221507574,0.00117077534754452,-0.0224400760897046,0.0170407978120482,0.0358907671437947,-0.0270216010401469,-0.0318243228239768,0.0783910276032084,0.02157141017699
"GSM1900214",0.0370138442336308,-0.06458533453441,0.0385750899568856,-0.0141176187818592,-0.0321774658054089,-0.0138875034642063,-0.0172703306266127,0.013369595676768,0.0184998293926997,0.013680376802609,0.0176666979054276,0.000564710965902734,-0.00545923978670517,0.00919176350822109,0.0588177453403136,-0.0114616063800006,0.0147198960280589,0.0317653496692617,0.0312768479376795,0.0186083802588754,0.0113698937114857,0.0347500577847243,0.0629241615047877
"GSM1900215",-0.0350976595829039,-0.0725780087334847,0.00321316986060841,-0.17414587650054,-0.145854206067266,-0.170668898076173,0.0555879188589469,0.138976688096967,0.00917084315193497,0.141246521135175,-0.0763776035861467,0.0859682966063035,0.0826045463360513,0.110133342635771,0.0216700728234021,0.0554073682656159,0.162218804754436,0.124407551495125,-0.0578802479501932,-0.0580556808857899,0.000360193418108003,-0.0551136766527491,0.0734320084922045
