"","Module","ANOVA_p","ANOVA_adj_p"
"1","M1",0.00215717866535101,0.0341808151242504
"21","M5",0.00297224479341308,0.0341808151242504
"7","M16",0.0155131388119709,0.0509717418107615
"12","M20",0.0113801522928117,0.0509717418107615
"16","M24",0.0102363826937134,0.0509717418107615
"19","M3",0.0122436855026358,0.0509717418107615
"20","M4",0.0149427641053505,0.0509717418107615
"10","M19",0.0323909727564851,0.0617979537493806
"11","M2",0.0295270138031166,0.0617979537493806
"13","M21",0.0349292782061717,0.0617979537493806
"15","M23",0.0297737480053183,0.0617979537493806
"22","M6",0.0244779451221644,0.0617979537493806
"23","M7",0.0268794334269615,0.0617979537493806
"14","M22",0.037803353489878,0.0621055093047995
"9","M18",0.092135336267874,0.141274182277407
"8","M17",0.112686070643606,0.161986226550184
"18","M27",0.144844838219616,0.19596654582654
"3","M12",0.19363657771595,0.24742451597038
"17","M26",0.471526699893493,0.570795478818439
"4","M13",0.68225485080434,0.784593078424991
"5","M14",0.776218170667766,0.850143710731363
"2","M11",0.957283635197453,0.957283635197453
"6","M15",0.917667814817938,0.957283635197453
