"Gene","ModuleA","pA","p.adjA","coefA","AUCA","ModuleH","pH","p.adjH","coefH","AUCH","ARank","HRank","RankSum"
"ANGPT2","M20",0.000210691669999094,0.0242636556779335,-7.73784016994726,0.883116883116883,"M20",0.000323041596766902,0.120872623709982,-0.442689710560719,0.688547008547009,15043,15031,30074
"INHBA","M4",5.88381266554252e-05,0.0242636556779335,-1.48217073686236,0.862554112554113,"M4",0.232453423083852,0.622083251753724,-0.0669379206086701,0.702735042735043,15007,15048,30055
"COL4A1","M2",0.000112053115369497,0.0242636556779335,-1.91050400543346,0.862554112554113,"M2",0.000353735962905887,0.120872623709982,-0.0210271759853287,0.678461538461538,15009,15000,30009
"TREM1","M5",0.000189876990703261,0.0242636556779335,-1.2857769884805,0.861471861471861,"M5",0.402515903893752,0.754148764492455,-0.0156179676192947,0.678290598290598,15003.5,14999,30002.5
"S100A8","M5",4.2290178302132e-05,0.0242636556779335,-1.17518112558328,0.87012987012987,"M5",0.086962732770578,0.432569038799677,-0.00164379255589012,0.672649572649573,15021.5,14971,29992.5
"S100A9","M5",4.83408828621531e-05,0.0242636556779335,-1.37606299728676,0.878246753246753,"M5",0.0720439729953049,0.403450797004326,-0.000954222276681558,0.67042735042735,15035,14949.5,29984.5
"IKBIP","M20",0.000118609546834636,0.0242636556779335,-3.83213782744401,0.8495670995671,"M20",0.000315921763490436,0.120872623709982,-0.269721517507654,0.688119658119658,14951,15030,29981
"PROK2","M5",0.00012339505745689,0.0242636556779335,-0.941952040360287,0.850649350649351,"M5",0.437588363119238,0.773005202882685,-0.0139395556760015,0.682051282051282,14961,15014.5,29975.5
"S100A12","M5",0.000190828695475051,0.0242636556779335,-1.04787366499297,0.857142857142857,"M5",0.0757801591647559,0.408480488959421,-0.0121088530015201,0.674871794871795,14988,14984.5,29972.5
"FPR1","M5",0.000396043363156629,0.0243014715877238,-2.23901949575804,0.871212121212121,"M5",0.172776725059198,0.558710345256751,-0.0187306499356129,0.668205128205128,15024,14928,29952
"CMTM2","M5",0.000225759171900455,0.0242636556779335,-2.49421059502347,0.871212121212121,"M5",0.0578208609164171,0.372973115389315,-0.125715824004766,0.667350427350427,15023,14921,29944
"DIO2","M20",0.000246072504363289,0.0242636556779335,-5.14222120638774,0.838744588744589,"M20",0.00115489311985204,0.121416646649503,-0.375717327386857,0.681709401709402,14916,15012,29928
"FERMT2","M10",0.000167759227795697,0.0242636556779335,-2.79665565582481,0.850649350649351,"M10",0.00110649631571977,0.121416646649503,-0.174869589089656,0.66991452991453,14961,14943.5,29904.5
