"","Module","Wilcox_p","Wilcox_FDR_p"
"20","M4",0.000938252612670243,0.0107899050457078
"21","M5",0.000614335023457053,0.0107899050457078
"11","M2",0.00252696991340919,0.0193734360028038
"1","M1",0.0113725282429749,0.0381517289296944
"7","M16",0.0111380332338075,0.0381517289296944
"9","M18",0.00941151535510935,0.0381517289296944
"23","M7",0.0116113957612113,0.0381517289296944
"3","M12",0.0160863572555541,0.0462482771097179
"15","M23",0.0209763691951787,0.0482456491489111
"19","M3",0.020178713446209,0.0482456491489111
"10","M19",0.0335093743709626,0.0700650555029219
"12","M20",0.0393763003111412,0.0754712422630207
"13","M21",0.0464930729276395,0.0822569751796699
"14","M22",0.0609166333287444,0.100077326182937
"8","M17",0.0688572595602508,0.100592749886774
"16","M24",0.0699775651386252,0.100592749886774
"4","M13",0.0872907655044679,0.118099270976633
"22","M6",0.138890096705961,0.177470679124283
"6","M15",0.173988802481361,0.210618024056385
"5","M14",0.396134078615844,0.455554190408221
"2","M11",0.600469048602356,0.627763096266099
"18","M27",0.595401154059308,0.627763096266099
"17","M26",0.705623941510132,0.705623941510132
