"Gene","Module","p","p.adj","coef","AUC"
"BEAN1","unassigned",5.8405076699864e-06,0.103616446573229,-0.882495635693973,0.725128205128205
"CLC","unassigned",0.000151368284136435,0.120872623709982,0.14428534118972,0.711965811965812
"FCER1A","unassigned",0.000118400897524821,0.120872623709982,0.929342558533955,0.709401709401709
"LINC01465","unassigned",0.000890893084319799,0.120872623709982,-2.50417248602816,0.707692307692308
"GLRX","unassigned",0.000745053708793573,0.120872623709982,-0.0198265846194879,0.707350427350427
"CD274","M5",0.00203263830861905,0.143099350131788,-0.0798681710652209,0.705982905982906
"ESM1","M13",7.8750212212223e-05,0.120872623709982,-1.57385476849235,0.705128205128205
"INHBA","M4",0.232453423083852,0.622083251753724,-0.0669379206086701,0.702735042735043
"LPL","unassigned",0.000681759258824672,0.120872623709982,-0.479238303493689,0.701025641025641
"TGM2","M16",0.000153392038165681,0.120872623709982,-0.0199190401780742,0.69982905982906
"ZBP1","unassigned",9.27932438356739e-05,0.120872623709982,-0.0822878907423023,0.69948717948718
"PLLP","M11",0.000247300339777434,0.120872623709982,0.191071144863965,0.696752136752137
"STOM","M10",0.00022532697773424,0.120872623709982,-0.0157176871102659,0.696752136752137
"GJA5","M9",0.000135622166448119,0.120872623709982,-0.808450156518836,0.695897435897436
"RND1","unassigned",0.000222016189400495,0.120872623709982,-0.0872227371096578,0.695897435897436
"MGAM","M11",0.0257368092276289,0.280628267588581,-0.29619129842418,0.693675213675214
"PFKFB3","M1",0.00293753058386723,0.15460071595437,-0.0263757638481008,0.693504273504273
"LYPD1","M5",0.000182597282003776,0.120872623709982,-0.789685678255804,0.692649572649573
"FLRT3","unassigned",0.00067919703534304,0.120872623709982,-0.417605567251772,0.692136752136752
"USP2","unassigned",0.000328776946355674,0.120872623709982,0.220215173568516,0.691880341880342
"XBP1","M12",7.73472073525749e-05,0.120872623709982,-0.00913195106393294,0.691623931623932
"LUCAT1","unassigned",0.000338884626286707,0.120872623709982,-0.273227000302194,0.691452991452991
"ASB13","unassigned",0.000146774861218007,0.120872623709982,0.336221786248784,0.689401709401709
"FCAR","unassigned",0.385894625039622,0.743717697402731,-0.0516179255889647,0.689230769230769
"MIR3945HG","M5",0.175712404129433,0.562569409734972,-0.220631835188867,0.689230769230769
"PLCD1","M16",0.000116961892801454,0.120872623709982,0.191373660654214,0.688717948717949
"ANGPT2","M20",0.000323041596766902,0.120872623709982,-0.442689710560719,0.688547008547009
"IKBIP","M20",0.000315921763490436,0.120872623709982,-0.269721517507654,0.688119658119658
"CLDN1","M13",0.0010022361452831,0.120872623709982,-0.252654516911812,0.687350427350427
"HECW2","unassigned",0.000101750953963064,0.120872623709982,-1.3433155448173,0.687179487179487
"ANXA1","M1",0.00282184603844068,0.154187340545103,-0.00523960769919072,0.686324786324786
"REEP6","M11",7.50106979868433e-05,0.120872623709982,1.22447300370725,0.685982905982906
"GLT1D1","M5",0.0412960025439546,0.330403463511828,-0.481990070214715,0.685470085470085
"ITGA2","unassigned",0.000367765892412209,0.120872623709982,-0.0654503126072755,0.685470085470085
"PMEPA1","M20",0.000203406491011283,0.120872623709982,-0.064393625106985,0.685128205128205
"SLC6A14","unassigned",0.0013461681583322,0.122988546239586,-0.0148705397890996,0.685128205128205
"PLAU","M1",0.000221647242178826,0.120872623709982,-0.0195512301041972,0.683589743589744
"CBLC","M20",0.0001111023435248,0.120872623709982,0.134530943979486,0.683418803418803
"IGSF9","M20",0.000200562093161386,0.120872623709982,0.25228839766234,0.683076923076923
"ADGRF1","unassigned",0.000142812345609647,0.120872623709982,-0.163952105703216,0.682735042735043
"BCAT1","M20",0.00275135777613571,0.152068281767449,-0.403427716370097,0.682564102564103
"NAMPT","M1",0.0254837121399017,0.279763981380622,-0.00416986902717357,0.682564102564103
"APOBEC3A","unassigned",0.172664705846282,0.558684905035111,-0.0305609184087014,0.682222222222222
"AGT","unassigned",0.000184787782456938,0.120872623709982,-0.0734628607791642,0.682051282051282
"PROK2","M5",0.437588363119238,0.773005202882685,-0.0139395556760015,0.682051282051282
"MAP3K8","M20",0.000406275773337687,0.120872623709982,-0.147607040398304,0.681880341880342
"DIO2","M20",0.00115489311985204,0.121416646649503,-0.375717327386857,0.681709401709402
"KBTBD11-OT1","unassigned",0.000239769093864518,0.120872623709982,1.36242228739103,0.681367521367521
"FABP1","M20",0.00454090297584635,0.163550515769688,0.000763163360904442,0.680683760683761
"AQP8","M16",0.192189262550613,0.582146099865192,0.0105628002921092,0.68051282051282
"C2CD4A","unassigned",0.0151615693769903,0.232315247125761,-0.10295061051848,0.68051282051282
"FPR2","M5",0.145469802607292,0.528713436577403,-0.0430517199193289,0.68051282051282
"CD55","unassigned",0.00458279356373191,0.164239619784335,-0.0055056739035399,0.67982905982906
"LAMC2","unassigned",0.000246193014079769,0.120872623709982,-0.0291497637052852,0.67982905982906
"C2orf48","unassigned",0.000196010387368602,0.120872623709982,-5.00257469874686,0.67965811965812
"RPS20P35","unassigned",0.000169302093193097,0.120872623709982,-4.70649186716273,0.67965811965812
"SULT1A2","M25",0.000694934796244725,0.120872623709982,0.209138903256371,0.67965811965812
"PIM2","M12",0.000262471238175899,0.120872623709982,-0.0162963351948917,0.67948717948718
"HEYL","M9",0.000875483442932874,0.120872623709982,-0.80052990362161,0.679145299145299
"GPR37L1","unassigned",0.000599991061016691,0.120872623709982,5.17620228523963,0.678803418803419
"CXCL1","M20",0.00206442446440412,0.143159024079726,-0.00355655091340782,0.678632478632479
"COL4A1","M2",0.000353735962905887,0.120872623709982,-0.0210271759853287,0.678461538461538
"TREM1","M5",0.402515903893752,0.754148764492455,-0.0156179676192947,0.678290598290598
"IL20RA","M20",0.000175321316789465,0.120872623709982,0.43228343136747,0.678119658119658
"GFI1B","unassigned",0.000138971021623955,0.120872623709982,3.53315244589506,0.677264957264957
"ALDH3A1","unassigned",0.000663438154495869,0.120872623709982,0.752516319204583,0.677094017094017
"HIST1H2BC","unassigned",0.00155109276690276,0.127990403616846,-0.299287368444842,0.677094017094017
"ADM","unassigned",0.000888962557157947,0.120872623709982,-0.0192361025226644,0.676923076923077
"CYP2S1","M20",0.000770066468582277,0.120872623709982,0.123129583017854,0.676752136752137
"PPP2R5B","unassigned",0.0014206088424339,0.124323032087833,-0.144818339680208,0.676752136752137
"TMEM253","M25",0.000468655348364281,0.120872623709982,0.144478924100715,0.676410256410256
"PRSS33","unassigned",0.000401492072704879,0.120872623709982,2.6011873697603,0.676239316239316
"FOXC2","M9",0.00021023305174205,0.120872623709982,-17.2024486295211,0.675726495726496
"DLC1","M10",0.000670336437965978,0.120872623709982,-0.240160070927053,0.675384615384615
"ETHE1","M20",0.000263486965621365,0.120872623709982,0.0114777628440454,0.675384615384615
"ALKBH7","M19",0.000401795399336405,0.120872623709982,0.0738486698933836,0.675042735042735
"TARID","unassigned",0.000171076897826959,0.120872623709982,1.61880597035215,0.674871794871795
"FSTL1","M2",0.000838162512813105,0.120872623709982,-0.0232449719306908,0.674871794871795
"S100A12","M5",0.0757801591647559,0.408480488959421,-0.0121088530015201,0.674871794871795
"PRDX6","M16",0.000710091832953222,0.120872623709982,0.0154110228765551,0.674700854700855
"LILRA6","M5",0.128737172456114,0.507115749244378,-0.0877497670726383,0.674444444444444
"PMAIP1","M6",0.00102197697742502,0.120872623709982,-0.281864404405106,0.674358974358974
"CCR1","M5",0.0465846655446438,0.343842406684148,-0.0815272933772088,0.674358974358974
"MAPKAPK2","M6",0.0030248743907801,0.15460071595437,-0.0423886851538004,0.674188034188034
"TRPA1","unassigned",0.00210556131967487,0.143159024079726,-0.0824363284611982,0.674017094017094
"DUSP7","unassigned",0.000365562612709618,0.120872623709982,-0.307531417278396,0.673931623931624
"MCAM","M8",0.000963351078687235,0.120872623709982,-0.0633633750838603,0.673846153846154
"ELANE","unassigned",0.000115372949747365,0.120872623709982,3.92448069657388,0.673675213675214
"SLC41A1","M20",0.001104321563857,0.121416646649503,-0.310557758110303,0.673504273504274
"CDKN2B","M24",0.00132588615873304,0.122988546239586,0.0868622906173652,0.672820512820513
"ST3GAL1","M3",0.000398918884160909,0.120872623709982,-0.107588350910434,0.672820512820513
"S100A8","M5",0.086962732770578,0.432569038799677,-0.00164379255589012,0.672649572649573
"RN7SL236P","unassigned",0.00147141492318317,0.125617376019822,-1.26719716340808,0.672393162393162
"OTOP2","M16",0.01064247183294,0.205802412167118,0.185051672517932,0.672307692307692
"CCDC3","M10",0.00334975789011208,0.156389617706522,-0.161270041075049,0.672136752136752
"G0S2","M1",0.437875872641103,0.77323640495293,-0.00405609605792176,0.672136752136752
"CARHSP1","M38",0.000841404683536719,0.120872623709982,-0.0366450733037514,0.671965811965812
"IHH","M20",0.000176801109820234,0.120872623709982,0.0869333232019977,0.671965811965812
"ENKUR","M11",0.000877079432098286,0.120872623709982,-0.244409392253139,0.671794871794872
"PGF","M20",0.00421035674861045,0.161186680306835,-0.326832571822159,0.671794871794872
"LGI2","M20",0.00223755915154442,0.143159024079726,-0.65633590198933,0.671794871794872
"TCHP","unassigned",0.0017013446470286,0.133555554791745,-0.0963034296066045,0.671794871794872
"CXCR1","M5",0.132105876396852,0.512139110322621,-0.0686628795752772,0.671623931623932
"SNORA63","unassigned",0.0079217747884459,0.185841348664263,-0.179451834022807,0.671623931623932
"SHD","M20",0.000259178153474121,0.120872623709982,0.274012578249506,0.671452991452991
"TPSB2","unassigned",0.00037954058840998,0.120872623709982,0.0213432058815411,0.671452991452991
"RNF208","unassigned",0.000387915311138189,0.120872623709982,0.988563918444714,0.671367521367521
"CXorf36","unassigned",0.00218914289584484,0.143159024079726,-0.50375886909386,0.671282051282051
"MLKL","unassigned",0.00153767241844631,0.127475917643252,-0.0937804237935698,0.671282051282051
"BCL6","M3",0.0285322177607057,0.289095224110427,-0.0387006693905239,0.671111111111111
"CYP4F35P","unassigned",0.000413829190531892,0.120872623709982,1.05686742417724,0.670940170940171
"ELL2","M4",0.00041677119876667,0.120872623709982,-0.0767410318392016,0.670940170940171
"STRIP2","unassigned",0.00143554410398042,0.124843078179984,-0.282560516017346,0.670769230769231
"CSF3R","M5",0.0506775790302502,0.356491248840472,-0.0162333305483924,0.67042735042735
"IL1RAP","unassigned",0.00254249125481687,0.147739219499363,-0.317567879203883,0.67042735042735
"S100A9","M5",0.0720439729953049,0.403450797004326,-0.000954222276681558,0.67042735042735
"ZFAS1","M38",0.000563216061631973,0.120872623709982,0.0434244733910535,0.67042735042735
"NAT2","M20",0.00199379523406345,0.142487697171398,0.211523992068655,0.67025641025641
"MDFI","M20",0.00246806470450121,0.147739219499363,-0.158989949976579,0.67008547008547
"IGFBP7","M10",0.00030007746888254,0.120872623709982,-0.0103627750784223,0.67008547008547
"CDKN2B-AS1","M20",0.00116345357817572,0.121416646649503,0.0853083497737305,0.66991452991453
"FERMT2","M10",0.00110649631571977,0.121416646649503,-0.174869589089656,0.66991452991453
"AQP9","M5",0.219639573975087,0.611317352230465,-0.0203812617621741,0.66974358974359
"NRCAM","unassigned",0.0350886946057188,0.313720327869096,-0.40156457200309,0.66974358974359
"SAV1","M20",0.000629992603323224,0.120872623709982,-0.228679411095539,0.66974358974359
"WWC2","unassigned",0.00100765341631371,0.120872623709982,-0.547173684556037,0.66974358974359
"PPP1R1C","unassigned",0.000154370635463733,0.120872623709982,3.60795068643791,0.669401709401709
"SLC9A3R1","M25",0.000744383154173238,0.120872623709982,0.0393888940426945,0.669401709401709
"EPB41L4A-AS1","M38",0.000272613651107915,0.120872623709982,0.20237759534653,0.669230769230769
"C10orf55","unassigned",0.00306280182048876,0.154806743866926,-2.67142043251075,0.669230769230769
"SLC26A3","M16",0.000963001813418412,0.120872623709982,0.0024916098519077,0.669059829059829
"RPS28P7","M38",0.000307683344405813,0.120872623709982,0.0063269277582578,0.668888888888889
"BCORP1","M14",0.00477708911082731,0.165480255190769,-1.97632066569493,0.668803418803419
"CLDN14","unassigned",0.001912041606313,0.139022664498356,-0.427633866295376,0.668547008547009
"LILRB3","M5",0.0491546134717101,0.352588663375003,-0.0431952643024272,0.668547008547009
"LYPD5","unassigned",0.00844736924202971,0.189364535545989,-0.160420493494722,0.668547008547009
"SLC11A1","unassigned",0.288766629674912,0.67203100048496,-0.0220986563141731,0.668547008547009
"OSM","M5",0.570949417286101,0.841856184514022,-0.0108915682457998,0.668376068376068
"FPR1","M5",0.172776725059198,0.558710345256751,-0.0187306499356129,0.668205128205128
"PKP1","unassigned",0.000815561038852352,0.120872623709982,-2.59161982622546,0.667863247863248
"OVOL2","M20",0.000622502942595138,0.120872623709982,0.324676205767516,0.667692307692308
"PGAP3","M20",0.00038577664546486,0.120872623709982,0.216084629242943,0.667606837606838
"ACAN","unassigned",0.00108437342162453,0.121416646649503,-1.71197121714912,0.667350427350427
