"Module"	"Cor"	"p"	"FDR"
"M18"	-0.509340529962765	1.02497934251421e-06	1.61496745186385e-05
"M23"	-0.474897035737056	6.54727277250516e-06	8.99901747029433e-05
"M16"	-0.709490976864305	8.59148252815455e-14	1.85003257106261e-11
"M20"	-0.625433616627363	3.3487647835689e-10	2.70412756273188e-08
"M29"	-0.203534023518563	0.0666491273604065	0.164333344560392
"M34"	-0.114902598051001	0.303986005596206	0.476694323277901
"M30"	-0.154035442285686	0.167064374323726	0.320248029119071
"M38"	-0.14981385914297	0.179145453172265	0.33430803293704
"M26"	-0.439768352370561	3.56755245198538e-05	0.000384106480663759
"M28"	-0.224117158316213	0.0429560024652596	0.122244835209505
"M19"	-0.465358733395793	1.05698305330545e-05	0.000131309817776024
"M17"	-0.604531704208497	1.8082298557982e-09	1.18202966577315e-07
"M11"	0.289784842038021	0.00827230182565855	0.0366021025984618
"M24"	-0.495994211017406	2.15382953085804e-06	3.16221335666885e-05
"M25"	-0.120407132831227	0.28124793773607	0.449726008131284
"M37"	0.0759213483170059	0.497821117521923	0.6547188102866
"M33"	0.0756525586181462	0.499348602102205	0.6547188102866
"M32"	-0.274075374908883	0.0127145326112003	0.0503901108394809
"M35"	-0.167846143107236	0.131735490683822	0.278108258110291
"M31"	-0.229800889521958	0.0378134095750947	0.112831145913862
"M27"	-0.311310894244481	0.0044151471453944	0.0230014923864902
"M21"	-0.544719008362447	1.21970023618416e-07	3.42576675032594e-06
"M22"	-0.525348982903066	4.03075820235228e-07	8.39957999586959e-06
"M14"	0.409379818895053	0.000134007796753006	0.00127307406915355
"M15"	0.364848346292415	0.000751437631063672	0.00584853867068834
"M12"	0.383440651088852	0.000376781912342261	0.00333426185442604
"M36"	-0.0431736675412643	0.70013965759765	0.80910593704487
"M9"	0.134504038585098	0.228291753688862	0.394322120008035
"M8"	0.00551103657991704	0.960808691216939	0.979387637188277
"M10"	0.22754626735526	0.0397882874343976	0.115189626616054
"M13"	0.349473482423862	0.00129021034797592	0.00896210628809079
"M1"	0.416612845812743	9.8913117989923e-05	0.0009845119416946
"M2"	0.53529797161563	2.20192084237684e-07	5.68976345670175e-06
"M4"	0.747663939296663	7.05889134868822e-16	2.2800219056263e-13
"M6"	0.53078584801298	2.90357666067443e-07	6.94707601035438e-06
"M3"	0.5025334815594	1.50280581334528e-06	2.31145846528822e-05
"M5"	0.79458115464031	5.12854885347265e-19	3.31304255934333e-16
"M7"	0.573832093232871	1.74427993403985e-08	7.51203224926498e-07
