"","affected_Cor","affected_Pvalue","affected_Pvalue_FDR_Pvalue","anti_integrin_Cor","anti_integrin_Pvalue","anti_integrin_Pvalue_FDR_Pvalue","anti_TNF_Cor","anti_TNF_Pvalue","anti_TNF_Pvalue_FDR_Pvalue","Combined_Cor","Combined_Pvalue","Combined_Pvalue_FDR_Pvalue","corticosteroids_Cor","corticosteroids_Pvalue","corticosteroids_Pvalue_FDR_Pvalue","Disease.CD_Cor","Disease.CD_Pvalue","Disease.CD_Pvalue_FDR_Pvalue","disease_complication_Cor","disease_complication_Pvalue","disease_complication_Pvalue_FDR_Pvalue","Disease.CRC_Cor","Disease.CRC_Pvalue","Disease.CRC_Pvalue_FDR_Pvalue","disease_duration_Cor","disease_duration_Pvalue","disease_duration_Pvalue_FDR_Pvalue","Disease.UC_Cor","Disease.UC_Pvalue","Disease.UC_Pvalue_FDR_Pvalue","gender_Cor","gender_Pvalue","gender_Pvalue_FDR_Pvalue","immunosuppression_Cor","immunosuppression_Pvalue","immunosuppression_Pvalue_FDR_Pvalue","NANCYscore_Cor","NANCYscore_Pvalue","NANCYscore_Pvalue_FDR_Pvalue","NSAIDs_Cor","NSAIDs_Pvalue","NSAIDs_Pvalue_FDR_Pvalue","patient_age_Cor","patient_age_Pvalue","patient_age_Pvalue_FDR_Pvalue","sample_age_Cor","sample_age_Pvalue","sample_age_Pvalue_FDR_Pvalue","site_Cor","site_Pvalue","site_Pvalue_FDR_Pvalue"
"M1",0.528169467923523,3.40248968480978e-07,7.57933909099005e-06,0.210295358902281,0.0579156988360134,0.147879610466659,-0.0775293088700458,0.488734557955893,0.653669822856122,0.452253944181106,1.99478786568622e-05,0.000230113028791661,0.00167348873288138,0.98809484918343,0.989626779182164,0.139514092937409,0.211269266342499,0.373917660430833,0.233257898626269,0.03494463122854,0.108296150943426,-0.463513561791618,1.15769310145026e-05,0.000141107498780541,0.29426881864574,0.00728551132572693,0.0338592828519396,0.424961312313173,6.90668665906757e-05,0.000708209457421849,0.15023632612063,0.177908525488238,0.334095661236633,-0.0590346672608807,0.598308431512427,0.73480465162933,0.416612845812743,9.8913117989923e-05,0.0009845119416946,0.291740350481782,0.00782838129926879,0.0353645756596338,-0.277751705798222,0.0115219007869475,0.0474085854036183,0.127895722402658,0.252178069658154,0.420948405682604,0.00210746728227245,0.985007858029186,0.988066888644183
"M10",0.293300789571967,0.00748930482499467,0.0343127015386281,0.0967606651480129,0.38715664340472,0.562029644133594,-0.0539105555681819,0.6304906348539,0.754714230220815,0.331013481191522,0.00238501457455517,0.014535088822289,-0.00960295585692708,0.931764174833954,0.962359335114453,0.152350092790066,0.171813280209953,0.32825322599081,0.112985721897024,0.312177780196099,0.483911925550998,-0.320173794643355,0.00336355723678633,0.0188944171735997,0.322424507732696,0.00313499092459661,0.0180821797972269,0.247726178726114,0.0248377149923219,0.0848950470107932,0.191378113394847,0.0850049937713492,0.197529589842775,-0.149667943553637,0.179574129147296,0.33430803293704,0.22754626735526,0.0397882874343976,0.115189626616054,0.253908090065378,0.0213465417190187,0.0774711570252028,-0.172444090706391,0.121332359189626,0.259207833379462,-0.00941677970745046,0.933084011110012,0.962359335114453,0.154096458583523,0.166894279147686,0.320248029119071
"M11",0.210919315143465,0.05715914017533,0.147110775112602,-0.226346004729503,0.0408741772351351,0.117354304417321,-0.0780078200036217,0.486047532901437,0.6515504484708,0.369925827827162,0.000624851993096166,0.00504567984425154,0.172880210705395,0.120379320506963,0.259207833379462,0.342991253216984,0.00160766114828466,0.0107066917710504,-0.324884001731172,0.00290119414477717,0.0173534390511671,-0.354667689020838,0.00107806850240975,0.00791400286996251,0.189663414247232,0.0878896142766167,0.2013357830592,0.0591622907162196,0.59751629782372,0.73480465162933,0.0454117551936254,0.685391504389807,0.799156124168433,0.0186353389987199,0.868020070506647,0.926859232729224,0.289784842038021,0.00827230182565855,0.0366021025984618,-0.282709268922631,0.0100685006468118,0.0430745127009301,-0.260833025523134,0.0179421118173766,0.0673872339187517,-0.0538609432258991,0.630805747021685,0.754714230220815,0.523249538125915,4.5680738761574e-07,9.22179913749274e-06
"M12",0.296044834844976,0.00692428054375931,0.0326502571625439,0.218754093756519,0.0483276167208599,0.131295479079006,0.0875630112897597,0.434068736791606,0.605633701873385,0.303679724407519,0.0055449426751866,0.0273437631158057,0.00544539605964418,0.961275126733963,0.979387637188277,0.1936603458976,0.0812827217613172,0.191637365904419,0.111744408557972,0.317557958303647,0.487445708580372,-0.312208082279344,0.00429678744256495,0.0225668673812761,0.251857116425413,0.0224551662490996,0.0779894483705286,0.159354073674274,0.152712642743584,0.306373811218495,-0.00594871816755109,0.957698910005048,0.979387637188277,0.152016515038026,0.172764855784637,0.32825322599081,0.383440651088852,0.000376781912342261,0.00333426185442604,0.102807004104171,0.358041458340009,0.530205985328006,-0.252224120157853,0.0222532551915376,0.0779894483705286,-0.0364282473781994,0.745245016528914,0.852085452526864,0.0194622956508287,0.862219606737384,0.92585068224953
"M13",0.259527195786257,0.0185457997010061,0.0684604948962854,-0.0133668189113798,0.905125802195323,0.946612479247121,-0.138471190997079,0.214736280757612,0.377982663131928,0.232187808505883,0.0358124812998992,0.110087731373086,0.210625245615436,0.05751469409062,0.147438461835478,0.205406413585615,0.0641303832398471,0.160574525476516,-0.0751235787330416,0.502361819236165,0.656934686693447,-0.224765185333551,0.0423418487849703,0.12103024033226,0.0780733681637872,0.485680066130827,0.6515504484708,0.0495796101126132,0.658241572289685,0.779885322645938,0.163497948683566,0.142184669741237,0.290293058524866,0.103637084963263,0.354152668305941,0.525937066035949,0.349473482423862,0.00129021034797592,0.00896210628809079,-0.00417773275598578,0.970285389314807,0.98360818209067,-0.193939606794191,0.0808363067388152,0.191282982246427,-0.0437358353561273,0.696424476690988,0.808487550917666,0.0253366545932757,0.821242504524045,0.903786470055422
"M14",0.317453295511229,0.00365962530332754,0.019867580375001,-0.0308003995353357,0.783552223791143,0.875734838354806,0.0315682360630293,0.778293058160734,0.872877283978879,0.33196135649153,0.00231301822109656,0.0142305692459845,0.159870799332864,0.151368965079853,0.305576098254953,0.238948240407192,0.030620254365031,0.0999024460596466,-0.0571504719930243,0.610057236831673,0.743579198100493,-0.31691118326487,0.00372132697426489,0.019867580375001,0.0891637002604886,0.425680607488316,0.599701715726882,0.139849862159317,0.210161535511655,0.373917660430833,0.0132268727605898,0.906114569130446,0.946612479247121,0.141480290544438,0.204841244775553,0.369525587129339,0.409379818895053,0.000134007796753006,0.00127307406915355,-0.166327510844041,0.135316434622288,0.281075295067518,-0.177068755353483,0.11151666923139,0.244480623728624,0.347097578878358,0.00139929735681545,0.00951522202634509,0.167246714676155,0.133140240300621,0.278536785130225
"M15",0.265573109229914,0.0158905206208542,0.0611028352444749,-0.0926614298205525,0.407677970296033,0.581368584572268,-0.089917065583336,0.421765082607548,0.598813721680167,0.238256330591306,0.0311207201280925,0.101025051270089,0.197515502445446,0.0752909119915823,0.180140478320601,0.229091840395738,0.0384254676486836,0.112831145913862,-0.0769278332969901,0.492123184812404,0.654405828483354,-0.236673448605443,0.0322915835376172,0.103269123590597,0.0452305198503653,0.686581499866068,0.799156124168433,0.0277915620512059,0.804252292305303,0.889118868029472,0.102673627382728,0.35866875478071,0.530205985328006,0.129164247947685,0.247465212415153,0.415933921123763,0.364848346292415,0.000751437631063672,0.00584853867068834,-0.135325714607635,0.225436188374808,0.392538484339961,-0.0893102072635437,0.424917528944954,0.599701715726882,0.337553078724443,0.00192663710080253,0.0122020349717493,0.309882493762574,0.00460957359559727,0.0236332106567924
"M16",-0.680562496683911,2.01303819070116e-12,3.25105667798238e-10,-0.062512115996898,0.576894147957201,0.720852917777043,0.229674572678777,0.0379218479636966,0.112831145913862,-0.627975700636762,2.70440150233188e-10,2.49577624358056e-08,-0.144219962387811,0.196118993974575,0.359114959233118,-0.337017469983,0.00196094990563391,0.0122987731945583,0.0633854116668384,0.571572580534067,0.720852917777043,0.664561696188005,9.92071444224248e-12,1.28175630593773e-09,-0.300734998554544,0.00604511177179972,0.0289269792932046,-0.409489976294049,0.000133396374686838,0.00127307406915355,-0.0625102556817006,0.576905508499584,0.720852917777043,0.07076313566049,0.527554946664111,0.681600991090031,-0.709490976864305,8.59148252815455e-14,1.85003257106261e-11,0.00866222870437048,0.938434970550261,0.965332788177498,0.443468197438452,3.01010129097436e-05,0.000341144812977094,-0.165736093366681,0.136730788823648,0.283102851218195,-0.381629891949605,0.000403715884448589,0.00352433055883498
"M17",-0.539964803807196,1.6470083806396e-07,4.43319755788826e-06,-0.177127802944384,0.111395442825899,0.244480623728624,0.120799446662098,0.2796718005151,0.449422843613818,-0.603150628215264,2.01274401292641e-09,1.18202966577315e-07,-0.14552167294935,0.192069654438515,0.354505705049374,-0.366744998297488,0.000701647114709455,0.00552761019636961,0.122963452910146,0.271083800398709,0.440000339340618,0.586662088619016,6.9608266478056e-09,3.74724501206868e-07,-0.194997430659001,0.0791629969416604,0.188705889388608,-0.339047616525874,0.00183373369737883,0.0117286333515517,0.0582931770783769,0.602919935781627,0.739063147087156,0.15155559982083,0.174086032599118,0.329323939556133,-0.604531704208497,1.8082298557982e-09,1.18202966577315e-07,0.00556558536276062,0.960421082575397,0.979387637188277,0.33940705976539,0.00181200125141202,0.0117055280841217,-0.282181299216199,0.0102152580989762,0.0431310897512328,-0.290070915182417,0.00820601098765755,0.036559193779495
"M18",-0.379620544495317,0.000435661084077406,0.00375249413752006,-0.101639711498107,0.363554431080618,0.533764005631999,0.30228382750757,0.00577727947908054,0.0278516607722838,-0.552759187624515,7.26117084927444e-08,2.46879808875331e-06,-0.300426182616045,0.00609980727111055,0.0289740845377751,-0.360564965692422,0.000875933983782765,0.00657969015725193,0.251976102882551,0.022389534092555,0.0779894483705286,0.570732449137009,2.16499555529417e-08,8.74116955450021e-07,-0.275025429762042,0.0123964866796476,0.0494329036731625,-0.279894900607374,0.0108725723695178,0.0456083230565489,-0.172617002859121,0.120953809577438,0.259207833379462,0.0505135698520281,0.652216265008972,0.774506814698154,-0.509340529962765,1.02497934251421e-06,1.61496745186385e-05,0.270449788298685,0.0139942528283709,0.054140669736307,0.374619920028366,0.000525465268599324,0.0044084488768203,-0.198447737707164,0.0738964692137087,0.179462853804721,-0.383600633482267,0.000374483310566466,0.00333426185442604
