gene_id,gene_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000102962,CCL22,417.0805444,9.178011733,0.91753446,10.00290685,1.47988E-23,2.71351E-20
ENSG00000158488,CD1E,62.71891843,8.720671587,0.778834093,11.19708506,4.21371E-29,9.65782E-26
ENSG00000116031,CD207,67.01090058,7.735337064,1.199966751,6.44629283,1.14619E-10,3.1368E-08
ENSG00000205755,CRLF2,22.3414286,7.221118333,0.937049872,7.706226259,1.29593E-14,7.92071E-12
ENSG00000245869,AP004609.1,12.44696143,7.12018736,1.444368258,4.929620489,8.23895E-07,5.76601E-05
ENSG00000228657,RPL23AP58,30.72649698,7.060673953,1.012333017,6.974655408,3.06621E-12,1.19622E-09
ENSG00000277255,MIR7854,10.31506521,6.840693044,1.372499148,4.984114603,6.22462E-07,4.56538E-05
ENSG00000229914,AL138899.2,10.09259597,6.817492537,1.301055761,5.239969524,1.60603E-07,1.45065E-05
ENSG00000257275,AL139020.1,9.984186498,6.802358376,1.648679644,4.125943086,3.69219E-05,0.001153717
ENSG00000243704,RN7SL105P,28.83526721,6.780657864,1.113224553,6.091006389,1.12203E-09,2.26083E-07
ENSG00000175262,C1orf127,11.09615958,6.768170604,1.220483586,5.545482694,2.93144E-08,3.4678E-06
ENSG00000214651,AL513122.1,9.229784544,6.688249488,1.293402567,5.171050111,2.32782E-07,2.01335E-05
ENSG00000260177,AC126696.1,25.39005351,6.679100514,1.908957161,3.498821582,0.000467319,0.008191935
ENSG00000234751,AP002381.1,8.477194446,6.565616291,1.211760541,5.418245659,6.01867E-08,6.4537E-06
ENSG00000235947,EGOT,8.252208975,6.527837427,1.133048332,5.761305358,8.34659E-09,1.23422E-06
ENSG00000126259,KIRREL2,12.21648691,6.522313955,1.442073416,4.522872334,6.1006E-06,0.000276883
ENSG00000160683,CXCR5,8.14255284,6.507584115,1.645541828,3.954675599,7.66386E-05,0.002033639
ENSG00000179639,FCER1A,159.9885679,6.504866657,1.158656129,5.614147714,1.97533E-08,2.4808E-06
ENSG00000254887,AC010247.1,7.889385066,6.460050539,1.117802852,5.779239628,7.5039E-09,1.13712E-06
ENSG00000224442,AC017035.1,8.684795899,6.414044515,1.189798512,5.390866144,7.01189E-08,7.38908E-06
ENSG00000261888,AC144831.1,9.847619706,6.402520117,1.023350358,6.256430231,3.93889E-10,9.25943E-08
ENSG00000176320,AL138899.1,11.0850487,6.393870679,0.890523351,7.179902329,6.97612E-13,3.11906E-10
ENSG00000158482,SNX29P1,15.69106538,6.282659859,1.356016757,4.63317273,3.60104E-06,0.000180672
ENSG00000223534,HLA-DQB1-AS1,22.42809833,6.231004126,1.09641738,5.683058516,1.32307E-08,1.79702E-06
ENSG00000119457,SLC46A2,6.712799261,6.228592109,1.536443568,4.053902297,5.03703E-05,0.00148487
ENSG00000279490,AC109446.4,6.674240446,6.214801429,1.818868559,3.416850215,0.000633501,0.010207275
ENSG00000218428,NIP7P3,7.487777736,6.200538847,1.456281083,4.257789874,2.06458E-05,0.000722445
ENSG00000269927,AC004817.3,26.54373293,6.184446898,1.083418686,5.708270475,1.1413E-08,1.5867E-06
ENSG00000252096,SNORA31,6.402261571,6.157632557,1.264331069,4.870269116,1.11446E-06,7.12014E-05
