gene_id,gene_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000260177,AC126696.1,29.64646931,24.37050548,2.085261784,11.68702446,1.48499E-31,8.79223E-28
ENSG00000254521,SIGLEC12,132.1862468,10.1866822,0.901036732,11.30551268,1.23232E-29,4.86418E-26
ENSG00000019169,MARCO,86.75057236,9.405939142,1.417758358,6.634373968,3.25883E-11,1.87327E-09
ENSG00000259600,AC066616.2,39.72996318,9.12850442,1.018848539,8.95962851,3.25774E-19,1.00797E-16
ENSG00000255833,TIFAB,84.31565902,8.615997537,0.904332911,9.527462098,1.61175E-21,7.48453E-19
ENSG00000279958,AC019278.1,27.18927296,8.585870947,0.88803039,9.66844271,4.10578E-22,2.16083E-19
ENSG00000259379,MTND5P32,58.0376672,8.496072764,0.906522279,9.372161018,7.10624E-21,3.00531E-18
ENSG00000276758,AC245884.12,29.71485341,8.373132803,1.078335494,7.764868032,8.17303E-15,1.08743E-12
ENSG00000183019,MCEMP1,51.12254109,8.349572562,1.48695903,5.615200145,1.96335E-08,5.65907E-07
ENSG00000240767,RN7SL288P,21.41971132,8.239454461,0.875402925,9.412185205,4.85928E-21,2.0924E-18
ENSG00000105609,LILRB5,155.777621,8.232846432,0.797352882,10.32522315,5.41926E-25,4.55826E-22
ENSG00000105967,TFEC,103.5079794,7.939074487,0.753894069,10.53075599,6.23318E-26,6.71002E-23
ENSG00000131042,LILRB2,650.005647,7.915724462,0.881066846,8.984249607,2.60506E-19,8.22608E-17
ENSG00000258227,CLEC5A,37.53925265,7.87310097,0.852943025,9.230512171,2.69341E-20,1.01251E-17
ENSG00000159339,PADI4,14.90608786,7.714379117,1.426876561,5.406479668,6.42755E-08,1.59899E-06
ENSG00000165685,TMEM52B,133.2074445,7.713886492,0.740462016,10.41766671,2.05944E-25,1.87591E-22
ENSG00000229754,CXCR2P1,41.16325781,7.700825234,1.05753506,7.281862822,3.29242E-13,3.03938E-11
ENSG00000186407,CD300E,299.31253,7.668038295,0.895179398,8.565923555,1.07213E-17,2.44147E-15
ENSG00000090659,CD209,410.3157474,7.632148585,0.924420354,8.256145106,1.50453E-16,2.61998E-14
ENSG00000166928,MS4A14,72.34926689,7.61801715,0.789993306,9.643141397,5.25546E-22,2.64819E-19
ENSG00000279554,AC130448.2,13.8980941,7.61730259,0.786202826,9.688724516,3.36707E-22,1.83613E-19
ENSG00000233038,AC011899.2,27.65462357,7.578337519,0.906867005,8.356614012,6.45441E-17,1.2633E-14
ENSG00000279907,AC018695.7,16.67002618,7.532799695,1.312960732,5.737261983,9.62194E-09,3.03027E-07
ENSG00000155659,VSIG4,504.9609977,7.50575927,1.081873268,6.937743537,3.98412E-12,2.7916E-10
ENSG00000177575,CD163,396.7651173,7.482119562,0.865556131,8.64429156,5.41401E-18,1.29515E-15
ENSG00000272625,AP000919.4,19.78938237,7.441137317,0.902709622,8.243112882,1.67787E-16,2.90051E-14
ENSG00000282608,ADORA3,49.96554599,7.43712757,0.927405329,8.019284919,1.06363E-15,1.65723E-13
ENSG00000273341,AC004921.1,11.79995017,7.385922011,0.880670265,8.386705336,4.99956E-17,1.01201E-14
ENSG00000162374,ELAVL4,18.92870842,7.380221745,1.102258926,6.695542733,2.14873E-11,1.2786E-09
ENSG00000243704,RN7SL105P,34.02539442,7.336995392,1.077121772,6.811667523,9.64739E-12,6.10907E-10
