gene_id,gene_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000123496,IL13RA2,98.30905384,9.786492931,1.314024756,7.447723407,9.49647E-14,8.06572E-12
ENSG00000241261,RPL17P19,59.8119265,9.067648193,0.705737732,12.84846732,8.77312E-38,4.34467E-34
ENSG00000172987,HPSE2,73.0059625,8.808544386,0.686341661,12.83405174,1.05689E-37,4.34467E-34
ENSG00000128482,RNF112,51.01941248,8.657564095,0.708700265,12.21611523,2.54981E-34,4.3674E-31
ENSG00000145423,SFRP2,65.50514875,8.456516863,0.950244513,8.899306178,5.61969E-19,1.02219E-16
ENSG00000198732,SMOC1,44.145576,8.449670302,1.158449834,7.2939458,3.01007E-13,2.3259E-11
ENSG00000178343,SHISA3,35.43658454,8.313859219,1.003691461,8.28328181,1.19826E-16,1.58898E-14
ENSG00000064300,NGFR,121.0553586,8.262974303,0.663472243,12.45413714,1.3278E-35,4.54859E-32
ENSG00000279940,AC073862.3,33.91564998,8.249755368,1.071576056,7.69871193,1.37445E-14,1.32631E-12
ENSG00000099715,PCDH11Y,67.0219988,8.074867448,1.233955748,6.543887382,5.99399E-11,3.04952E-09
ENSG00000280061,AC011504.1,28.89251918,8.019633417,1.009992919,7.940286771,2.01714E-15,2.19367E-13
ENSG00000185634,SHC4,35.8904017,7.967194763,0.904768241,8.805785179,1.2994E-18,2.22565E-16
ENSG00000165246,NLGN4Y,27.83828446,7.965333901,1.114576483,7.146511723,8.90108E-13,6.26551E-11
ENSG00000179219,LINC00311,27.74581834,7.959871383,1.093289318,7.280663268,3.32183E-13,2.53817E-11
ENSG00000134917,ADAMTS8,72.20760106,7.932901565,0.790880957,10.03046223,1.11991E-23,4.18521E-21
ENSG00000122585,NPY,27.04312563,7.924039124,1.457116565,5.438164191,5.38324E-08,1.33793E-06
ENSG00000261625,AP003071.4,27.03669923,7.922389628,0.869294618,9.113584125,7.97044E-20,1.74281E-17
ENSG00000237887,RPL23AP32,30.57960494,7.919063016,0.654124839,12.10634813,9.77501E-34,1.43511E-30
ENSG00000072840,EVC,95.23975606,7.856532802,0.645823551,12.16513829,4.76637E-34,7.53601E-31
ENSG00000244953,AC087521.1,79.63549569,7.82439813,0.785782135,9.957465025,2.33952E-23,8.43622E-21
ENSG00000162951,LRRTM1,53.75753334,7.766826542,1.042392346,7.450962749,9.26615E-14,7.90276E-12
ENSG00000169302,STK32A,22.4953025,7.656563121,0.944243865,8.108671293,5.11763E-16,6.11557E-14
ENSG00000178752,ERFE,28.10738842,7.611867423,1.039618079,7.321792088,2.44681E-13,1.94177E-11
ENSG00000162687,KCNT2,35.80766063,7.593245031,0.687611693,11.04292599,2.37181E-28,1.62501E-25
ENSG00000132563,REEP2,29.89041508,7.514105094,0.934964936,8.036777428,9.2232E-16,1.05319E-13
ENSG00000110975,SYT10,20.27260395,7.507537554,0.881968729,8.512249134,1.70592E-17,2.54083E-15
ENSG00000189398,OR7E12P,22.36257072,7.466267724,0.806844157,9.25366771,2.16919E-20,5.18436E-18
ENSG00000236426,AL583824.1,18.52136599,7.378074986,1.170752329,6.301994712,2.93839E-10,1.24016E-08
ENSG00000114200,BCHE,17.50850805,7.297460318,1.153203662,6.327989198,2.48377E-10,1.07476E-08
ENSG00000223764,AL645608.1,43.03680884,7.292341222,0.889355374,8.199580765,2.41227E-16,3.02328E-14
ENSG00000280291,AC016251.2,17.19044383,7.268346294,1.185376546,6.131677163,8.69574E-10,3.37231E-08
ENSG00000226440,AL365214.2,16.35728395,7.19811802,0.983703386,7.317366316,2.52885E-13,1.98328E-11
ENSG00000247746,USP51,18.00627576,7.153568549,0.92917906,7.698805169,1.37344E-14,1.32631E-12
