gene_id,gene_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000163421,PROK2,724.7680957,-10.54669564,0.702408188,-15.01505225,5.85157E-51,1.07294E-46
ENSG00000180871,CXCR2,2935.253681,-8.513978786,0.58742794,-14.49365651,1.32877E-47,1.21821E-43
ENSG00000140932,CMTM2,695.4584419,-10.27883218,0.728488394,-14.10980911,3.30471E-45,2.01984E-41
ENSG00000162747,FCGR3B,4673.163244,-9.716545924,0.767113852,-12.66636744,9.08238E-37,3.33069E-33
ENSG00000173535,TNFRSF10C,2417.978582,-6.68515234,0.527272524,-12.67874208,7.75667E-37,3.33069E-33
ENSG00000185201,IFITM2,34429.20585,-5.043111219,0.43895896,-11.48879891,1.50185E-30,4.58967E-27
ENSG00000163464,CXCR1,2714.440255,-10.61162362,0.945825569,-11.21942984,3.27374E-29,8.57534E-26
ENSG00000158488,CD1E,62.71891843,8.720671587,0.778834093,11.19708506,4.21371E-29,9.65782E-26
ENSG00000230257,NFE4,131.9469398,-10.29437734,1.016819241,-10.12409771,4.31944E-24,8.80014E-21
ENSG00000102962,CCL22,417.0805444,9.178011733,0.91753446,10.00290685,1.47988E-23,2.71351E-20
ENSG00000123689,G0S2,15964.60186,-4.595247454,0.463001999,-9.924897663,3.24435E-23,5.40804E-20
ENSG00000198736,MSRB1,2586.749838,-4.396665891,0.444818499,-9.884179502,4.87559E-23,7.44991E-20
ENSG00000239839,DEFA3,91.05219592,-10.14474315,1.040649316,-9.748474335,1.87261E-22,2.64125E-19
ENSG00000115607,IL18RAP,134.153205,-9.196204462,0.989359014,-9.295113634,1.47049E-20,1.92592E-17
ENSG00000008438,PGLYRP1,151.1402613,-7.922061392,0.868522181,-9.121311536,7.42206E-20,9.07273E-17
ENSG00000123405,NFE2,852.6153605,-5.50151237,0.612618741,-8.980320058,2.6998E-19,3.09397E-16
ENSG00000179583,CIITA,1281.882305,4.352811097,0.490180992,8.880007938,6.68556E-19,7.21097E-16
ENSG00000062282,DGAT2,413.6803085,-4.616423561,0.544586391,-8.476935221,2.31204E-17,2.35519E-14
ENSG00000186529,CYP4F3,210.5738993,-6.697722622,0.790873725,-8.468763612,2.48011E-17,2.39344E-14
ENSG00000260078,AC007342.3,115.1113172,-6.87098962,0.820415689,-8.375010027,5.52192E-17,5.06249E-14
ENSG00000158710,TAGLN2,4695.111107,-2.293436212,0.27553522,-8.32356826,8.53541E-17,7.45263E-14
ENSG00000171236,LRG1,1089.62419,-3.722171977,0.44800444,-8.308337246,9.70524E-17,8.08887E-14
ENSG00000143546,S100A8,25629.07813,-4.403085003,0.535390985,-8.224055187,1.96735E-16,1.56841E-13
ENSG00000234506,LINC01506,315.7936315,-7.373179869,0.90771361,-8.122804138,4.55534E-16,3.48028E-13
ENSG00000132965,ALOX5AP,2909.422542,-4.329138587,0.541904713,-7.988745036,1.36319E-15,9.9982E-13
ENSG00000162551,ALPL,1215.829067,-6.100196244,0.777450457,-7.846411551,4.2811E-15,3.01917E-12
ENSG00000125780,TGM3,64.35675468,-9.644084021,1.235295129,-7.807109243,5.85145E-15,3.97379E-12
ENSG00000170837,GPR27,59.88862689,-7.076298348,0.911010801,-7.767524093,8.00351E-15,5.24116E-12
ENSG00000103154,NECAB2,61.53283566,-9.386147818,1.209192181,-7.762329234,8.33836E-15,5.27214E-12
ENSG00000205755,CRLF2,22.3414286,7.221118333,0.937049872,7.706226259,1.29593E-14,7.92071E-12
ENSG00000163220,S100A9,48571.29798,-4.28057762,0.558840826,-7.659743928,1.86304E-14,1.10196E-11
ENSG00000257335,MGAM,125.7356724,-5.813659047,0.760158167,-7.647959726,2.04193E-14,1.17003E-11
ENSG00000173868,PHOSPHO1,276.383933,-5.194526443,0.696708224,-7.455813299,8.93151E-14,4.96267E-11
ENSG00000119508,NR4A3,1934.790934,3.189309464,0.428891415,7.436169978,1.03646E-13,5.58959E-11
ENSG00000260517,AC009093.2,76.21211597,5.898437125,0.795557542,7.414218096,1.22344E-13,6.40945E-11
ENSG00000236562,AC116049.1,26.04353876,-4.949346143,0.67056809,-7.380825622,1.57311E-13,8.01237E-11
ENSG00000119535,CSF3R,4648.385754,-3.13092543,0.427251203,-7.32806698,2.33496E-13,1.15713E-10
ENSG00000224397,SMIM25,1880.911061,-3.842917388,0.530795258,-7.239924118,4.48936E-13,2.16623E-10
ENSG00000112149,CD83,1266.662818,3.690990431,0.512110056,7.207416422,5.70234E-13,2.68098E-10
ENSG00000124731,TREM1,2593.373742,-3.646730619,0.507518964,-7.185407593,6.7007E-13,3.0716E-10
ENSG00000111252,SH2B3,702.265467,3.078895074,0.429016118,7.176641953,7.14445E-13,3.11906E-10
ENSG00000176320,AL138899.1,11.0850487,6.393870679,0.890523351,7.179902329,6.97612E-13,3.11906E-10
ENSG00000254789,AC073172.1,48.81482788,-9.245122996,1.300404632,-7.109420228,1.16531E-12,4.96912E-10
ENSG00000123104,ITPR2,1017.161981,2.295086362,0.325522555,7.050468008,1.78317E-12,7.43096E-10
ENSG00000188404,SELL,2038.043684,-3.773195864,0.536366636,-7.034732612,1.99643E-12,8.13481E-10
ENSG00000250116,AC018682.1,139.0846006,5.384743992,0.767797894,7.013231,2.32876E-12,9.28266E-10
ENSG00000228657,RPL23AP58,30.72649698,7.060673953,1.012333017,6.974655408,3.06621E-12,1.19622E-09
ENSG00000099985,OSM,2578.654477,-3.885930691,0.561079844,-6.925806964,4.33497E-12,1.65596E-09
ENSG00000159496,RGL4,271.1526683,-5.16535875,0.752187883,-6.867112412,6.55144E-12,2.45158E-09
ENSG00000140750,ARHGAP17,565.7291349,1.708582107,0.249005844,6.861614501,6.80866E-12,2.49687E-09
ENSG00000273691,AC087284.1,76.23483201,4.159067227,0.610082369,6.817222459,9.28175E-12,3.33706E-09
ENSG00000147454,SLC25A37,1441.672408,-2.208148638,0.324384798,-6.807189029,9.95241E-12,3.50937E-09
ENSG00000186407,CD300E,246.3994951,4.32131268,0.63672667,6.786762486,1.14678E-11,3.96742E-09
ENSG00000177156,TALDO1,2257.036909,-2.564699577,0.381428605,-6.723930875,1.76886E-11,6.00628E-09
ENSG00000227028,SLC8A1-AS1,248.1334985,3.476452153,0.519194226,6.695860579,2.14406E-11,7.14791E-09
ENSG00000090238,YPEL3,1440.68269,-3.289287637,0.49191644,-6.686679624,2.28291E-11,7.4749E-09
ENSG00000126262,FFAR2,1168.325436,-4.058811838,0.608437442,-6.670877825,2.54278E-11,8.17972E-09
ENSG00000138772,ANXA3,277.9674894,-3.95390217,0.597362255,-6.618935386,3.61795E-11,1.14377E-08
ENSG00000267476,AC104365.1,37.6107878,5.172503804,0.781862646,6.615616987,3.70005E-11,1.1499E-08
ENSG00000093134,VNN3,118.2533234,-6.07840598,0.92365232,-6.580837669,4.67805E-11,1.42961E-08
ENSG00000263050,AC090617.6,104.026029,3.612110807,0.55104642,6.555002769,5.56408E-11,1.67251E-08
ENSG00000119397,CNTRL,312.0944241,2.676410596,0.409952326,6.528589859,6.63918E-11,1.96348E-08
ENSG00000204160,ZDHHC18,749.9992217,-2.911927023,0.447356334,-6.509189208,7.55575E-11,2.19908E-08
ENSG00000182885,ADGRG3,583.5888374,-6.054666797,0.930801168,-6.504790717,7.78016E-11,2.22902E-08
ENSG00000169180,XPO6,860.6737186,-2.312570768,0.357320126,-6.47198576,9.67232E-11,2.72849E-08
ENSG00000157551,KCNJ15,403.2418774,-6.008029875,0.931610704,-6.449077762,1.12533E-10,3.12637E-08
ENSG00000116031,CD207,67.01090058,7.735337064,1.199966751,6.44629283,1.14619E-10,3.1368E-08
ENSG00000154589,LY96,370.2063702,-3.132849095,0.487925522,-6.420752663,1.35602E-10,3.65647E-08
ENSG00000224796,RPL32P1,56.96340595,5.703851087,0.890102195,6.40808563,1.47358E-10,3.91588E-08
ENSG00000267174,AC011472.2,141.9063624,-5.240229735,0.820522242,-6.386456655,1.69774E-10,4.4471E-08
ENSG00000089041,P2RX7,160.5394843,3.690655413,0.58114113,6.350704198,2.14331E-10,5.53519E-08
ENSG00000126432,PRDX5,2098.877859,-2.251599706,0.356809916,-6.310361912,2.78384E-10,7.0895E-08
ENSG00000170542,SERPINB9,783.4127393,2.735350616,0.434181262,6.300019964,2.97607E-10,7.47524E-08
ENSG00000160588,MPZL3,256.4170025,-3.213030857,0.510362552,-6.295585056,3.06243E-10,7.58819E-08
ENSG00000128805,ARHGAP22,58.78364248,5.427101782,0.864231375,6.279686134,3.39257E-10,8.29416E-08
ENSG00000115355,CCDC88A,636.9395682,2.620570531,0.418036913,6.268753902,3.63949E-10,8.78074E-08
ENSG00000125910,S1PR4,534.1995465,-3.613362289,0.576890843,-6.263511259,3.76404E-10,8.9633E-08
ENSG00000261888,AC144831.1,9.847619706,6.402520117,1.023350358,6.256430231,3.93889E-10,9.25943E-08
ENSG00000171051,FPR1,4184.610583,-3.382947233,0.541236445,-6.250405461,4.09388E-10,9.50196E-08
ENSG00000164169,PRMT9,298.0227334,3.026383553,0.484533211,6.245977533,4.21158E-10,9.65293E-08
ENSG00000162924,REL,771.5164701,2.038474132,0.3276706,6.221107824,4.93657E-10,1.11749E-07
ENSG00000180953,ST20,101.2601633,-3.182638111,0.512239268,-6.213186508,5.19208E-10,1.161E-07
ENSG00000163041,H3F3A,2792.565661,-1.598552026,0.257413732,-6.210049526,5.29679E-10,1.17014E-07
ENSG00000100300,TSPO,2219.913691,-1.850015763,0.298168943,-6.204589059,5.484E-10,1.19708E-07
ENSG00000119048,UBE2B,642.7513774,-2.477950609,0.399714194,-6.199306014,5.67127E-10,1.22339E-07
ENSG00000180596,HIST1H2BC,162.10053,-3.978005935,0.644013548,-6.176897908,6.53733E-10,1.39382E-07
ENSG00000202019,Y_RNA,47.99975087,-4.012674864,0.652064797,-6.153797722,7.56492E-10,1.59437E-07
ENSG00000174611,KY,35.90553621,-5.395347671,0.87770791,-6.147087897,7.89184E-10,1.64437E-07
ENSG00000174885,NLRP6,55.49082974,-7.200506872,1.173772246,-6.134500874,8.5427E-10,1.75999E-07
ENSG00000268658,LINC00664,13.53212973,-7.198387159,1.176725904,-6.117301516,9.51732E-10,1.939E-07
ENSG00000243704,RN7SL105P,28.83526721,6.780657864,1.113224553,6.091006389,1.12203E-09,2.26083E-07
ENSG00000138670,RASGEF1B,772.1362744,2.780136065,0.457963791,6.07064602,1.27397E-09,2.53907E-07
ENSG00000158481,CD1C,142.6466048,5.631328862,0.929925376,6.05567824,1.39827E-09,2.75685E-07
ENSG00000232254,CSF2RBP1,16.69585272,-7.695975102,1.274086348,-6.040387386,1.53745E-09,2.999E-07
ENSG00000146192,FGD2,1047.110077,3.440684619,0.570814613,6.027674382,1.66336E-09,3.21045E-07
ENSG00000108848,LUC7L3,1279.63412,1.353880466,0.224706049,6.02511803,1.68986E-09,3.22764E-07
ENSG00000228166,MTND1P11,9.290710379,6.139490669,1.020887293,6.013877058,1.81138E-09,3.42407E-07
ENSG00000151461,UPF2,387.6917043,1.37994572,0.230052534,5.998393907,1.99279E-09,3.67953E-07
ENSG00000180644,PRF1,385.3881678,-7.524324739,1.254013466,-6.000194529,1.97081E-09,3.67953E-07
ENSG00000182782,HCAR2,662.4043272,-3.173968977,0.529236356,-5.997261789,2.00672E-09,3.67953E-07
ENSG00000097033,SH3GLB1,590.0621674,-2.030870963,0.339561276,-5.980867388,2.21953E-09,4.02943E-07
ENSG00000272211,AC114760.2,245.504717,2.961890151,0.49691182,5.960595077,2.51321E-09,4.51787E-07
ENSG00000129355,CDKN2D,407.4870046,-3.448249815,0.581813538,-5.926726673,3.09033E-09,5.44848E-07
ENSG00000229989,MIR181A1HG,86.12473404,5.442587717,0.918181555,5.92757248,3.07446E-09,5.44848E-07
ENSG00000243716,NPIPB5,300.3262912,1.836126234,0.310662937,5.910348542,3.41385E-09,5.96155E-07
ENSG00000197249,SERPINA1,5487.270262,-2.428113078,0.411066501,-5.906861966,3.48686E-09,6.0316E-07
ENSG00000158825,CDA,498.873378,-3.948566397,0.668935042,-5.902765063,3.57459E-09,6.12558E-07
ENSG00000133318,RTN3,972.6895897,-2.360923138,0.400482705,-5.895193749,3.74242E-09,6.3538E-07
ENSG00000253676,TAGLN2P1,68.9792011,-2.27114706,0.386204089,-5.880691396,4.08556E-09,6.87274E-07
ENSG00000134539,KLRD1,126.8856169,-5.826462195,0.991697479,-5.875241513,4.22227E-09,7.03815E-07
ENSG00000182541,LIMK2,664.0082979,-2.196159207,0.374807388,-5.859434145,4.64447E-09,7.67216E-07
ENSG00000137414,FAM8A1,116.9714291,-2.929901459,0.50100064,-5.848099236,4.97222E-09,8.14023E-07
ENSG00000135905,DOCK10,239.1398615,3.017167889,0.516304566,5.843775341,5.10308E-09,8.21183E-07
ENSG00000151948,GLT1D1,141.2896412,-4.087389526,0.699452814,-5.843695878,5.10552E-09,8.21183E-07
ENSG00000132514,CLEC10A,728.1636301,3.852763332,0.65965893,5.840538434,5.20324E-09,8.27404E-07
ENSG00000270640,AC104695.3,488.3856226,2.623038157,0.449185585,5.839542155,5.23445E-09,8.27404E-07
ENSG00000243404,RPL35AP32,14.14170344,5.050618641,0.866883087,5.826182002,5.67098E-09,8.88744E-07
ENSG00000125735,TNFSF14,321.0008872,-3.656154159,0.631216365,-5.792236013,6.94554E-09,1.07927E-06
ENSG00000055483,USP36,1042.153153,2.385271014,0.411970441,5.789908143,7.04249E-09,1.08514E-06
ENSG00000031081,ARHGAP31,231.056007,3.510118886,0.606808241,5.784560346,7.27022E-09,1.11089E-06
ENSG00000254887,AC010247.1,7.889385066,6.460050539,1.117802852,5.779239628,7.5039E-09,1.13712E-06
ENSG00000176788,BASP1,1271.246782,-2.54345209,0.440284729,-5.776834683,7.6119E-09,1.14403E-06
ENSG00000163221,S100A12,1395.920453,-4.254172181,0.736787038,-5.773950896,7.7434E-09,1.15433E-06
ENSG00000235947,EGOT,8.252208975,6.527837427,1.133048332,5.761305358,8.34659E-09,1.23422E-06
ENSG00000188186,LAMTOR4,2749.638842,-2.118657162,0.367998458,-5.75724468,8.54979E-09,1.25415E-06
ENSG00000115756,HPCAL1,668.6092892,-1.850959965,0.32273257,-5.735274772,9.73544E-09,1.41674E-06
ENSG00000242616,GNG10,55.05772732,-3.241524004,0.56543959,-5.732750341,9.8815E-09,1.42667E-06
ENSG00000273319,AC058791.1,640.8237545,2.924945845,0.511879998,5.714124121,1.1027E-08,1.57962E-06
ENSG00000059728,MXD1,1595.101144,-2.499138349,0.437782023,-5.708636301,1.13885E-08,1.5867E-06
ENSG00000198858,R3HDM4,1314.631722,-2.867493489,0.502352751,-5.708127372,1.14226E-08,1.5867E-06
ENSG00000269927,AC004817.3,26.54373293,6.184446898,1.083418686,5.708270475,1.1413E-08,1.5867E-06
ENSG00000272196,HIST2H2AA4,115.574003,-2.453230129,0.429486416,-5.712008661,1.1165E-08,1.5867E-06
ENSG00000117335,CD46,414.1936542,-1.396482625,0.245111899,-5.697326927,1.217E-08,1.67782E-06
ENSG00000223865,HLA-DPB1,5257.947059,2.436709306,0.428045535,5.692640396,1.2509E-08,1.71167E-06
ENSG00000223534,HLA-DQB1-AS1,22.42809833,6.231004126,1.09641738,5.683058516,1.32307E-08,1.79702E-06
ENSG00000101347,SAMHD1,1270.31698,1.865916078,0.328941913,5.672478955,1.40746E-08,1.88373E-06
ENSG00000142046,TMEM91,91.84753476,-3.092430545,0.545160625,-5.672512652,1.40718E-08,1.88373E-06
ENSG00000077984,CST7,950.4488715,-3.480126841,0.614160066,-5.66648181,1.45759E-08,1.9367E-06
ENSG00000114315,HES1,466.7090005,1.896156387,0.334842915,5.662823674,1.48902E-08,1.96422E-06
ENSG00000239998,LILRA2,415.8867224,-2.713418234,0.479744489,-5.655965412,1.54973E-08,2.0297E-06
ENSG00000225000,AC010082.1,7.217130917,6.148723017,1.088125365,5.650748725,1.5975E-08,2.06761E-06
ENSG00000225873,LINC00694,230.0590954,-6.125408855,1.084076253,-5.650348707,1.60123E-08,2.06761E-06
ENSG00000230629,RPS23P8,75.12443517,2.401126178,0.426140945,5.634582191,1.75483E-08,2.25011E-06
ENSG00000258581,AL157871.3,132.2169387,3.455066461,0.613965291,5.627462194,1.8288E-08,2.32867E-06
ENSG00000163563,MNDA,2541.474498,-2.825795924,0.502379849,-5.624819411,1.85702E-08,2.3483E-06
ENSG00000179639,FCER1A,159.9885679,6.504866657,1.158656129,5.614147714,1.97533E-08,2.4808E-06
ENSG00000169442,CD52,1217.159724,3.241445902,0.578169404,5.606394731,2.06585E-08,2.57683E-06
ENSG00000224101,ELMO1-AS1,70.8554215,4.409220583,0.788755306,5.590099426,2.2694E-08,2.8116E-06
ENSG00000110852,CLEC2B,395.2352323,-2.261108144,0.405616115,-5.574502739,2.48238E-08,3.04003E-06
ENSG00000166900,STX3,451.8078322,-2.609561045,0.468151284,-5.574183255,2.48694E-08,3.04003E-06
ENSG00000178695,KCTD12,405.9253571,2.647904516,0.475670988,5.566672306,2.5965E-08,3.15294E-06
ENSG00000164047,CAMP,80.74190711,-4.98270244,0.89539468,-5.564811306,2.62436E-08,3.16581E-06
