Gene,ModuleA,pA,p.adjA,coefA,AUCA,ModuleH,pH,p.adjH,coefH,AUCH,ARank,HRank,RankSum,,A = anti-TNF
ANGPT2,M20,0.000210692,0.024263656,-7.73784017,0.883116883,M20,0.000323042,0.120872624,-0.442689711,0.688547009,15043,15031,30074,,H = anti-Integrin
INHBA,M4,5.88E-05,0.024263656,-1.482170737,0.862554113,M4,0.232453423,0.622083252,-0.066937921,0.702735043,15007,15048,30055,,
COL4A1,M2,0.000112053,0.024263656,-1.910504005,0.862554113,M2,0.000353736,0.120872624,-0.021027176,0.678461538,15009,15000,30009,,
TREM1,M5,0.000189877,0.024263656,-1.285776988,0.861471861,M5,0.402515904,0.754148764,-0.015617968,0.678290598,15003.5,14999,30002.5,,
S100A8,M5,4.23E-05,0.024263656,-1.175181126,0.87012987,M5,0.086962733,0.432569039,-0.001643793,0.672649573,15021.5,14971,29992.5,,
S100A9,M5,4.83E-05,0.024263656,-1.376062997,0.878246753,M5,0.072043973,0.403450797,-0.000954222,0.67042735,15035,14949.5,29984.5,,
IKBIP,M20,0.00011861,0.024263656,-3.832137827,0.8495671,M20,0.000315922,0.120872624,-0.269721518,0.688119658,14951,15030,29981,,
PROK2,M5,0.000123395,0.024263656,-0.94195204,0.850649351,M5,0.437588363,0.773005203,-0.013939556,0.682051282,14961,15014.5,29975.5,,
S100A12,M5,0.000190829,0.024263656,-1.047873665,0.857142857,M5,0.075780159,0.408480489,-0.012108853,0.674871795,14988,14984.5,29972.5,,
FPR1,M5,0.000396043,0.024301472,-2.239019496,0.871212121,M5,0.172776725,0.558710345,-0.01873065,0.668205128,15024,14928,29952,,
CMTM2,M5,0.000225759,0.024263656,-2.494210595,0.871212121,M5,0.057820861,0.372973115,-0.125715824,0.667350427,15023,14921,29944,,
DIO2,M20,0.000246073,0.024263656,-5.142221206,0.838744589,M20,0.001154893,0.121416647,-0.375717327,0.681709402,14916,15012,29928,,
FERMT2,M10,0.000167759,0.024263656,-2.796655656,0.850649351,M10,0.001106496,0.121416647,-0.174869589,0.66991453,14961,14943.5,29904.5,,
AQP9,M5,0.000249341,0.024263656,-1.046316886,0.850649351,M5,0.219639574,0.611317352,-0.020381262,0.66974359,14961,14940.5,29901.5,,
PAPPA,unassigned,0.000315281,0.024263656,-11.16562065,0.912337662,unassigned,0.005066882,0.166774691,-0.896164978,0.659145299,15053,14840.5,29893.5,,
NRCAM,unassigned,0.000803824,0.028983496,-4.682378929,0.843073593,unassigned,0.035088695,0.313720328,-0.401564572,0.66974359,14934,14940.5,29874.5,,
G0S2,M1,0.000101656,0.024263656,-1.170786691,0.836580087,M1,0.437875873,0.773236405,-0.004056096,0.672136752,14904.5,14968.5,29873,,
PLAU,M1,0.000112489,0.024263656,-1.160585922,0.826839827,M1,0.000221647,0.120872624,-0.01955123,0.683589744,14847,15021,29868,,
VNN2,M6,0.000279345,0.024263656,-1.876082718,0.857142857,M6,0.049316581,0.352588663,-0.044688891,0.660512821,14988,14864,29852,,
CSF3R,M5,0.000466716,0.024962965,-1.561606713,0.835497835,M5,0.050677579,0.356491249,-0.016233331,0.67042735,14896,14949.5,29845.5,,
MCAM,M8,0.000487827,0.025157475,-5.024604363,0.827922078,M8,0.000963351,0.120872624,-0.063363375,0.673846154,14853,14976,29829,,
CD93,M2,0.000213494,0.024263656,-2.389132396,0.848484848,M2,0.011281227,0.208069697,-0.080208333,0.662564103,14948,14878.5,29826.5,,
PI15,M20,0.0001902,0.024263656,-1.424168365,0.854978355,M20,0.171264218,0.557197596,-0.031100181,0.65965812,14973.5,14853,29826.5,,
FJX1,M4,0.000185593,0.024263656,-4.43221771,0.877705628,M4,0.003736655,0.157984296,-0.458992157,0.655042735,15032,14793.5,29825.5,,
PDPN,M5,0.00010651,0.024263656,-4.217760947,0.862554113,M5,0.003436253,0.157148224,-0.046276529,0.656581197,15007,14815,29822,,
FPR2,M5,0.002103381,0.040402104,-1.650977991,0.819264069,M5,0.145469803,0.528713437,-0.04305172,0.680512821,14812,15009,29821,,
FKBP11,unassigned,0.000388894,0.024301472,-3.474995925,0.838744589,unassigned,0.000453128,0.120872624,-0.021748747,0.664102564,14916,14890.5,29806.5,,
FCGR3B,M5,0.000219711,0.024263656,-1.113912904,0.853896104,M5,0.324428348,0.698914368,-0.011357171,0.658803419,14970,14835,29805,,
CXCR2,M5,0.000235349,0.024263656,-1.106443726,0.87987013,M5,0.137092296,0.518773952,-0.058895097,0.652136752,15039,14746.5,29785.5,,
ADGRF5,M10,0.000223789,0.024263656,-2.18682773,0.844155844,M10,0.001788403,0.136758839,-0.230883436,0.659145299,14936,14840.5,29776.5,,
CCR1,M5,0.001139604,0.031247887,-1.514897926,0.813852814,M5,0.046584666,0.343842407,-0.081527293,0.674358974,14787.5,14980,29767.5,,
CXCL8,M1,9.77E-05,0.024263656,-0.833693578,0.829004329,M1,0.559201029,0.83438428,-0.001215966,0.666324786,14858.5,14908,29766.5,,
C5AR1,unassigned,0.000297165,0.024263656,-1.537871768,0.851731602,unassigned,0.211117907,0.602258046,-0.038221552,0.655213675,14965.5,14796.5,29762,,
SMARCA1,M10,9.56E-05,0.024263656,-6.637384365,0.876623377,M10,0.004520467,0.163550516,-0.379504594,0.650598291,15029.5,14720,29749.5,,
BCL2A1,M20,0.000204975,0.024263656,-0.958472929,0.823593074,M20,0.171053609,0.556920918,-0.018622363,0.664957265,14831.5,14899,29730.5,,
SNAPC1,unassigned,0.000207107,0.024263656,-4.575191143,0.854978355,unassigned,0.003690927,0.157984296,-0.77982964,0.652478632,14973.5,14754.5,29728,,
KLHL5,M20,0.000142015,0.024263656,-3.665096784,0.858225108,M20,0.006054202,0.172339981,-0.103325378,0.651452991,14992,14735,29727,,
SLFN11,M20,0.000348485,0.024263656,-2.228721257,0.847402597,M20,0.003543165,0.157148224,-0.127683384,0.653846154,14945,14781,29726,,
CSF3,M1,0.000281113,0.024263656,-3.187756345,0.859307359,M1,0.151424851,0.534777891,-0.02993739,0.651282051,14996.5,14729,29725.5,,
LOXL2,M4,0.000275492,0.024263656,-5.223622346,0.826839827,M4,0.001249462,0.122549059,-0.057348198,0.662564103,14847,14878.5,29725.5,,
LILRB3,M5,0.000345856,0.024263656,-3.966025935,0.812770563,M5,0.049154613,0.352588663,-0.043195264,0.668547009,14779.5,14931.5,29711,,
IL1RAP,unassigned,0.00037746,0.024301472,-4.001253537,0.807359307,unassigned,0.002542491,0.147739219,-0.317567879,0.67042735,14751.5,14949.5,29701,,
IGFBP7,M10,0.000258073,0.024263656,-2.578621449,0.808441558,M10,0.000300077,0.120872624,-0.010362775,0.67008547,14755,14945,29700,,
COL4A2,M2,0.000199588,0.024263656,-2.574947926,0.856060606,M2,0.002130867,0.143159024,-0.0194438,0.650598291,14980.5,14718,29698.5,,
CCDC3,M10,0.000359306,0.024263656,-2.582782673,0.804112554,M10,0.003349758,0.156389618,-0.161270041,0.672136752,14728.5,14968.5,29697,,
VGLL3,M20,0.001364102,0.033588738,-4.08924045,0.810606061,M20,0.00035786,0.120872624,-2.083085868,0.667179487,14771.5,14917,29688.5,,
WISP1,unassigned,0.000446971,0.024668118,-2.536920662,0.838744589,unassigned,0.003682131,0.157984296,-0.16420732,0.653333333,14916,14771.5,29687.5,,
CXCL6,M5,7.19E-05,0.024263656,-1.642020762,0.922077922,M5,0.003696615,0.157984296,-0.037388333,0.645641026,15055,14631,29686,,
OSM,M5,0.000891482,0.02943698,-1.906366742,0.807359307,M5,0.570949417,0.841856185,-0.010891568,0.668376068,14751.5,14929,29680.5,,
RHOQ,M20,0.000149651,0.024263656,-3.180380124,0.850649351,M20,0.017156752,0.24308221,-0.0629753,0.650598291,14961,14718,29679,,
F2R,M5,0.000277266,0.024263656,-4.600345875,0.83008658,M5,0.002047148,0.143159024,-0.07265896,0.654358974,14867,14785,29652,,
ELL2,M4,0.000816418,0.028983496,-2.897333193,0.797619048,M4,0.000416771,0.120872624,-0.076741032,0.670940171,14692,14953.5,29645.5,,
GLIPR1,M20,0.000342666,0.024263656,-2.143580954,0.844155844,M20,0.005443976,0.169519533,-0.089670787,0.64974359,14937.5,14708,29645.5,,
IFNAR2,M6,0.000200124,0.024263656,-5.984738757,0.854978355,M6,0.005441661,0.169519533,-0.093562728,0.647179487,14973.5,14665.5,29639,,
CAV2,M9,0.000193646,0.024263656,-3.96229072,0.87987013,M9,0.013298671,0.221740348,-0.128048828,0.643589744,15039,14598,29637,,
PDE4B,M20,0.000349634,0.024263656,-1.781128847,0.80952381,M20,0.059082719,0.376233494,-0.049171062,0.661538462,14762,14870.5,29632.5,,
PIM2,M12,0.000462924,0.024962965,-1.652002985,0.79004329,M12,0.000262471,0.120872624,-0.016296335,0.679487179,14621.5,15004,29625.5,,
CHST15,M20,0.000181528,0.024263656,-3.067095551,0.838744589,M20,0.008265029,0.187626603,-0.123778427,0.64957265,14916,14707,29623,,
ADGRL4,M20,0.000239478,0.024263656,-1.570811967,0.829004329,M20,0.010589478,0.205802412,-0.187270517,0.652478632,14858.5,14754.5,29613,,
BCAT1,M20,0.000538762,0.025757391,-2.054598056,0.786796537,M20,0.002751358,0.152068282,-0.403427716,0.682564103,14586.5,15016.5,29603,,
BCL6,M3,0.000609469,0.026745142,-1.929907549,0.791125541,M3,0.028532218,0.289095224,-0.038700669,0.671111111,14635,14955,29590,,
TLR2,M4,0.000194058,0.024263656,-2.106695773,0.848484848,M4,0.036704207,0.31865211,-0.133334511,0.645982906,14948,14639,29587,,
LRRC8C,M20,0.00016538,0.024263656,-5.103987787,0.837662338,M20,0.003342842,0.156389618,-0.437274991,0.647521368,14910.5,14672.5,29583,,
LDLRAD3,M20,0.000262004,0.024263656,-3.915529004,0.895021645,M20,0.032913828,0.304153628,-0.353831349,0.64,15049,14531,29580,,
KDR,M20,0.000637017,0.027153486,-3.219067176,0.835497835,M20,0.002472982,0.147739219,-0.197607865,0.647692308,14896,14676.5,29572.5,,
DENND5A,M20,0.000272144,0.024263656,-2.052263937,0.832251082,M20,0.052567492,0.360042394,-0.072760051,0.648376068,14879,14687.5,29566.5,,
SPARC,M2,0.000400659,0.024301472,-1.329636748,0.807359307,M2,0.002124389,0.143159024,-0.004248265,0.656581197,14751.5,14815,29566.5,,
RAI14,M20,0.000425431,0.02449672,-1.956790707,0.817099567,M20,0.005238667,0.168935968,-0.139636846,0.652991453,14801.5,14764.5,29566,,
CHN1,M20,0.000248526,0.024263656,-1.732005545,0.821428571,M20,0.027131037,0.284819068,-0.159098149,0.651623932,14821.5,14738,29559.5,,
MMP10,unassigned,0.000416892,0.02449672,-0.72521374,0.795454545,unassigned,0.001379557,0.122988546,-0.036093403,0.663247863,14675.5,14883,29558.5,,
HCAR3,M5,0.000545263,0.025823146,-0.627238988,0.801948052,M5,0.416145524,0.761353678,-0.015451412,0.658974359,14718,14837.5,29555.5,,
MAP4K4,M3,0.000116045,0.024263656,-4.030664758,0.840909091,M3,0.00876066,0.190702908,-0.080606573,0.645470085,14927,14626.5,29553.5,,
SLC11A1,unassigned,0.000841202,0.029329962,-6.541019642,0.79004329,unassigned,0.28876663,0.672031,-0.022098656,0.668547009,14621.5,14931.5,29553,,
STC1,M1,0.000140777,0.024263656,-1.79795786,0.841991342,M1,0.228308188,0.618526313,-0.048511869,0.644444444,14931.5,14610.5,29542,,
CSGALNACT2,M20,0.00031657,0.024263656,-2.932396104,0.818181818,M20,0.012097904,0.213749985,-0.143783665,0.651452991,14807.5,14733,29540.5,,
KCNJ15,unassigned,0.001798774,0.038441468,-3.014403571,0.810606061,unassigned,0.122690908,0.498319459,-0.112116064,0.653333333,14768.5,14771.5,29540,,
PLEK,M6,0.000919441,0.029818337,-0.979641055,0.797619048,M6,0.291309862,0.674077577,-0.005932211,0.659487179,14692,14848,29540,,
TRPM6,M24,0.000190896,0.024263656,1.98454204,0.824675325,M24,0.001827778,0.138575239,0.232267194,0.649230769,14837.5,14699.5,29537,,
STEAP4,M2,0.001662311,0.037087225,-1.927962656,0.835497835,M2,0.006898856,0.174327046,-0.144754783,0.645470085,14896,14626.5,29522.5,,
IL6,M1,0.000125724,0.024263656,-1.073977485,0.833333333,M1,0.829556506,0.946141863,-0.00308082,0.645811966,14884.5,14635,29519.5,,
COL12A1,M2,0.000182203,0.024263656,-2.404315262,0.856060606,M2,0.007475136,0.180185318,-0.068000544,0.64,14980.5,14531,29511.5,,
THBD,M1,0.000185318,0.024263656,-3.982138617,0.888528139,M1,0.013393014,0.222477021,-0.130015427,0.637094017,15048,14454,29502,,
SLC2A3,M1,0.000132143,0.024263656,-1.93445991,0.863636364,M1,0.349299812,0.719672419,-0.012311218,0.638632479,15010.5,14489,29499.5,,
PRR15,M20,0.000746348,0.028287476,2.107990934,0.786796537,M20,0.000672151,0.120872624,0.040874843,0.666324786,14586.5,14908,29494.5,,
CDX2,M20,0.000767425,0.028502866,2.226706516,0.796536797,M20,0.000657854,0.120872624,0.024717518,0.655726496,14685.5,14805,29490.5,,
LILRA6,M5,0.000866769,0.02943698,-3.445672305,0.777056277,M5,0.128737172,0.507115749,-0.087749767,0.674444444,14494.5,14982,29476.5,,
IL1B,M1,0.000419822,0.02449672,-0.852960774,0.787878788,M1,0.581045208,0.847723934,-0.001202351,0.662393162,14598.5,14875.5,29474,,
ZNF57,unassigned,0.000513906,0.025661022,2.544429451,0.786796537,unassigned,0.000559078,0.120872624,0.493393693,0.663418803,14586.5,14885.5,29472,,
HGF,unassigned,0.000498872,0.025333221,-7.296271634,0.909090909,unassigned,0.047416299,0.347034882,-0.125431179,0.635213675,15052,14415,29467,,
DRAM1,unassigned,0.001214713,0.032390383,-2.029645189,0.782467532,unassigned,0.001267262,0.122855142,-0.117669348,0.666495726,14544,14911,29455,,
